Rating,Title,Content,Author Name,Date,Year
7.0,The start of a franchise that revolve around cars and a big break for two actors,"This movie was a big hit when it first came out in theaters, especially with it's budget. It's actually pretty obvious why this movie was so popular, mainly because of the suped up cars with girls and some aggressive racing and bits of action. In another words this is a popcorn flick for most guys and despite the plot not being that good, it still has elements which keeps the movie from being boring or dull. It's one of those movies where it's better to shut off your brain and just accept that entertaining and yet stupid stuff happening on screen in order to have a good time with it. This is also the movie where Vin Diesel and Paul Walker got their big break, and so this movie is the biggest thing that has probably ever happened to them especially when it comes to being in the movie industry. So yeah basically to sum it up, this is a film with a passable plot but has some thrill rides to go with it. Overall the execution was well done, it's a stupid/cheesy flick and yet it's cool and entertaining. Like one of Vin's line in this movie ""You break her heart, I'll break your neck"" it's lame but stands out although most of this movie is pretty cheesy for the most part.7.4/10",KineticSeoul,2011-04-28,2011
7.0,"It coming at you, FAST AND FURIOUS.","Action movies consists on three things, fast cars, good chases and good actors and characters. In The Fast and the Furious, that is acceptable for a action movie. Vin Diesel stars as a street racer, who's friends dominated the streets with tricked out cars and exciting races on the streets of L.A. Paul Walker plays a cop, tracking Diesel. Together, they form a duo. They so discover that the street racing is causing theft to occur in L.A. So, it's up for Walker's character to tracked own these robbers before they hit again. The Fast and the Furious is a good action flick for the summer because it combined the energy level to high as the chases become greater and greater. As for Walker and Diesel, these guys know how to act. They know what's the game is. When the game is on, they go at it. Their formula together is very good and the action sequences are really astonishing. As for the car chases, they are somehow very neat and well made. All in all, The Fast and the Furious is a heart pounding, fast and furious ride from start to finish. â˜…â˜…â˜… 3 stars.",blazesnakes9,2011-05-07,2011
3.0,"Shallow movie about hot cars and girls - big problem: they get the ""cars"" part completely wrong!","OK, I get it, the movie is only to show hot cars and girls, so I won't comment on the thin, improbable and hole-riddled plot. Instead I'm going to list just a few thing that are wrong about the cars in the movie, which I'm guessing was designed for viewers who largely have no clue about cars, maybe because the target audience is slightly too young to drive, i.e. early teens? Well, here goes: 1. NOS seems to be the solution to everything. There is a lot more involved to make a car go fast, yet the shop is full of NOS, NOS, and more NOS parts! Oh, and exhausts, because everyone knows loud exhausts are the 2nd most important thing that makes a car go fast ;-) 2. The car ""tops out at 140"", let's add some NOS (surprise!) and it'll go faster. If your car tops out at 140, NOS will not help you one bit. Maybe you're running out of gears, maybe the engine should be built for higher revs, but NOS won't change anything about your top speed! 3. The best qualities of the type of cars driven, modern Japanese cars, are cornering and handling. What do they do? They have a drag race on a straight instead - wrong car for this purpose, any average US muscle car will beat the hell out of the Jappa there with less money spent on it (and conversely, a modern Japanese car will leave an average old US muscle car in the dust in an actual race involving lots of corners).4. Double-clutching ... oh dear, what a complete and utter nonsense! You double-clutch if you have an unsynchronized transmission - very unlikely - and even then only when you down-shift (which you never do in a drag race!) 5. 140mph is fast at the end of a quarter mile, but not that fast in principle, there are *many* European and Japanese cars that have a top speed around that figure or higher, even ""family cars"".6. Nitrous oxide doesn't run out after a few seconds (lines in the movie indicate a racer has used his NOS boost ""too early"").7. If Vin is serious about drag racing, he wouldn't have a sound system weighing a ton in his car. Note, there's a scene where the geek is explaining how to save 2-3kg of weight on the car they're building later on, so on the other hand they do seem to be interested in saving weight.8. Towards the end, Vin drives the Charger and does a monstrous wheelie. You don't get that kind of traction/wheelie on anything but big fat racing slicks, yet the car has pretty normal tires on it.9. While we're at it - the tires are smoking while he does a wheelie?! Wheelie means you have grip. Smoking tires means you don't have grip. Which is it?!? 10. A car like that Charger would definitely have a wheelie bar, especially since a wheelie as big and exaggerated as the one shown in the movie would just cost you time.11. If you're serious about 1/4 mile times, you're not going to drive a FWD car, but rather a RWD or 4WD car.12. Surely even the boy-racer scene with Jappa cars finds cheap stickers tacky (no pun intended) and would opt for real airbrush or pin-striping on their prized cars (there is one scene where they put decorative stickers(!) on a car).13. Why would you rebuild a burnt out Supra?! Apparently their labor is free and restoring the car is done in a leisurely afternoon or something. Oh, and the engine is so special that $15k turns it into a 10s car! These are just off the top of my head, and I'm not even that knowledgeable about cars myself, so I'm sure there's plenty more wrong. The movie doesn't pretend to be anything it isn't, but at least they should have gotten the ""car"" parts right in what is meant to be a car movie! ...or did I get that wrong and I just watched a very long commercial for NOS (which is a brand name ;-) ?",nichtssagend,2011-05-29,2011
10.0,Well Worth Your Time,"Truck loads are being hi jacked and the LAPD has sent in an undercover cop into the street racing world to find out who is doing it.

This movie is outstanding on many levels. The climatic failed truck - jacking scene has to be one of the top 10 trucker scenes of all time. When we watch it at the truck stop,we all cheer for the truck driver who got away with his load intack,although with a radiator full of buck shot. Well done Rob Cohen,ken Li,Gary Scott Thompson,Erik Bergquist,David Ayer,Unknown Actor,Matt Schultz,Paul Walker,Vin Deisel,Johnny Strong,Michelle Rodriguez, and Jordana Brewster. If I missed your name and you had something to do with this scene,i.e. stint coordinator or editor,i beg your forgiveness. If you had something to do with this great trucker scene,Well Done.

Mike White drove the Freigtliner 18 wheeler.

Unknown Actoer drove the Peterbuilt 18 wheeler.

The Unknown Actor and Mike White are permanent A list actors.

Michelle Rodriguez and Jordana Brewster are hot

---One truck Drivers Opinion---

erldwgstruckermovies.com",ehrldawg,2011-05-30,2011
10.0,one of the best movies ever made,"I can not believe that this movie has only a 6.1 on IMDb.com. this movie is definitely way better than that. although i agree with IMDb.com that the 5th one is the best. this movie has the 2 things that i love. cars, and especially movies. this movie has a cliffhanger and is continued in part 2. this movie is about a cop who is undercover and befriends Dominic torreto who has a history with the cops. a fun movie for car lovers.

rated PG-13 For violence sexual content and language

1 use of the F-word

1hr 47min/107min",kylehaines96,2011-06-22,2011
10.0,True blockbuster.,"Firstly, this movie became a masterpiece and a blockbuster of all times - not because of it's plot, literally it is plain, but because of the scenes with the fast, tuned, hot cars, having neon lights and nitrous which was something people had never seen before. There had been many racing movies but this one is unique itself because of the illegal racing stuff. In my opinion this movie is very underrated because of it's low ratings and disliking reviews complaining about plot, but - come on, guys this ain't a movie whose purpose is to having a nice plot. If you want a nice plot movie go watch Star Wars but the purpose of the F&F franchise is to see some fast beautiful cars, hot chicks and affairs which are not about love but something more... I admit that the writing was not well-made but the defense of this disadvantage is that action films don't need perfect writing - go watch a good drama instead if you want a good writing.

What I mean is that this movie is the origin of the illegal street racing movies and was the first of it's kind. Then we saw Street Racer, Born to Race and even the failure of the year - 200 MPH. But all those movies were inspired by the Fast and the Furious franchise. The plot is plain and predictable otherwise it is different than any plot in any other action movie made before the movie. The acting was great - all the actors made the deal especially Paul Walker and Vin Diesel, whose roles made them famous and the reason being famous now is only the movie. The special effects, that every action movie need to have, are immaculate and the stuff used in the movie is perfect. In addition, people in real life became inspired about tuning their own cars and this movie is the reason about that. In my opinion if you're a fan of cars you should definitely watch the movie and will truly love it. If you expect too much or are a drama/comedy person you will also not be disappointed but also not so satisfied. ""Damn"" I can say so many things about this movie that literally mean a defence of itself but I would repeat myself so I will skip to the summary.... The movie is a blockbuster itself. It is plot is plain and predictable but because it's unique itself and is origin of all illegal street racing movies so this makes the meaning of the plot inconsequential. The acting is awesome as immaculate are the special effects too. The writing is typical for an action movie, despite being awful but what really makes this hustle and bustle movie amazing is it's uniqueness and beautiful adrenaline among fast and tuned cars. Recommendation - just watch if you're big fan of cars and adrenaline. Don't expect much if you're not.

Plot - mild, plain, predictable though it is unique and doesn't need to be amazing. 6/10.

Acting - Amazing; Vin, Jordana, Michelle and Paul do very nice job. 10/10

Writing - as plain as the plot is though it's very typical to the classic action movies. 6/10

Performance - Immaculate special effects; Very beautiful designed cars; Spectacular racing scenes. 10/10

OVERALL: 8/10, though I give it an excellent personal TEN because it is literally my favourite franchise.",Achylles,2011-10-23,2011
9.0,It's more than just an action movie.,"This is a great movie. Far from being superficial pulp, this movie has a complex plot. Vin Diesel's performance is tremendous; his screen presence is dominating. He succeeds in carrying the movie. Although the movie contains lots of glitz, it also tells a story that deals with themes such as loyalty and betrayal. The rest of the cast is excellent too, especially Jordana Brewster and Paul Walker. Michelle Rodriguez is as usual wonderful. It would be easy to dismiss this movie as being little more than a live action cartoon, but the movie really is full of surprises. It has several intensely dramatic scenes, some of the most incredible car chase scenes, and some deeply esoteric verbal exchanges fraught with emotion. Whether it's Vin Diesel pouting or Paul Walker being heroic, the results are same: nonstop action, intense dialog, and interesting characters, all of which together produce great entertainment. It's more than just about automobiles.",PWNYCNY,2011-10-24,2011
7.4423076923076925,An action packed ride that will please gear-heads and non-enthusiasts alike,"Brian O'Conner (Paul Walker), a police officer, goes undercover at Harry's high performance auto parts store, The Racer's Edge, to infiltrate an illegal street racing subculture and figure out who is responsible for hijacking trucks loaded with expensive electronic merchandise. Armed with a highly modified Mitsubishi Eclipse, O'Conner enters the world of street-racers to meet the leader of a notorious gang led by Dominic Toretto (Vin Diesel), who are suspected in the hijackings. After helping Toretto escape the police when their race is broken up, O'Conner wins his way into Toretto's good graces. Things go awry, however, after the gang attempts another hijacking, and O'Conner is compelled to move in and stop them. The NOS injected action/adventure film also stars Michelle Rodriguez (Letty), Jordana Brewster (Mia Toretto), Chad Lindberg (Jesse), Johnny Strong (Leon) and Matt Schulze (Vince), and is sure to please fans of such genres as well as many a gear-head.

But The Fast and The Furious is, of course, not without the requisite, if not cliché, femme fatale motif to add a little suspense. Sure, Mia Toretto is not exactly fatale, but her role is just a docile variety of what you expect in a movie such as The Fast and The Furious: to create inner conflict in O'Conner and unwittingly—in her case at least—to challenge his priorities. Unlike other undercover movies such as Point Break or Breach, though, The Fast and The Furious will not keep you on the edge of your seat in suspense. But that is fine here. Despite the covert operations and confused loyalties of O'Conner, action is the point here—car action to specific. Everything else is supportive filler to keep the story moving.

What is perhaps one of the best treats of all in this movie is the final drag race. It is a classic stop light drag race, complete with a speeding train through a railroad crossing and an obstructing tractor trailer to add extra layers of excitement. After all, what good is a car movie without at least a few melodramatic crashes and close calls of the predictable variety. Who would have guessed a train would go speeding by mere seconds after O'Conner and Toretto go airborne—inexplicably—over the train tracks, or that a tractor trailer would just happen to impede a lane traffic as the pair go racing down the street at full throttle? Even though the special effects are simple here (no CGI), they still add to the excitement. Indeed, the action packed plot is focused on catching a gang of street racers who hijack trucks to support their lifestyle. The cars, then, are naturally as much a part of the supporting cast as the actors themselves, and the special effects and stunts are what make their action sequences so much fun to watch, while also supporting the story line.

In the end, The Fast and The Furious is well worth the addition to any action/adventure enthusiast's or gear-head's DVD collection. Even though the film may not be a classic hit, it has a well cast ensemble of actors who fulfill the sub-cultural niche this movie seeks to portray, using a fictional undercover story line of cops and robbers",elijaman2002,2011-12-11,2011
7.0,"The Fast and the Furious (2001) - Vin Diesel and Paul Walker, Start Your Engines!","Known as the first film in the ""Fast and the Furious"" series, this thrilling street-racing action flick brought a start to a daring and explosive franchise. Paul Walker plays LAPD officer Brian O' Connor, who is sent undercover to investigate a gang of street-racers, all portrayed by Vin Diesel as Dominic Toretto, Jordana Brewster as his sister Mia, and Michelle Rodriguez as his girlfriend Letty. But then, he starts having feelings for this particular group, and has no idea whether to bust them or not. This really is a thrilling, and exciting film. Who doesn't enjoy watching car races, hot ladies, and rocking music? The race scenes are exciting and fun, and they steal the whole movie. But I don't really think this movie should be called an ""excellent"" movie, but instead a ""cool"" movie. Vin Diesel and Paul Walker are two of the toughest guys ever seen on film, so it was really fun watching them racing cars, shooting guns, and beat up people. But neither one of them gives a special performance. The story may sound like a crazy concept, but it is original. It's neither a remake or a reboot of classic car race films. Anyways, if you're interested in watching a classic movie with chase scenes, hot ladies, explosive bombs, and tons of violence, you won't be disappointed. This is the perfect movie to invite your friends to, and watch this with everyone. ""The Fast and the Furious"", in my review, ""exciting premise, a thrilling ride"".",nickmesafilms,2012-01-01,2012
5.0,OK film - did it encourage the 3 guys who died last month racing on my freeway?,"I didn't want to see his movie, but my friends really wanted to see it bad. It was sold out, but we got into the 12:15am show time and the theater was packed! AT 12:15!! I don't understand what the appeal of this movie is. A bunch of fast cars? Fast cars does not a good movie make.The dialogue of this movie was terrible. There wasn't anything interesting said the whole time. My friends (who LOVED the movie) tried to defend it saying that they talked like real people talk. Well, if I want to see real people talk I'll go to the barber shop or something; somewhere where I don't have to pay $8.25. Such lines as ""It doesn't matter if you win by an inch or a mile, winning is winning."" and ""I'll have the tuna fish,"" are the most memorable, and believe me they really sucked.The plot hardly got in the way of the blatant attempt to make a movie just for the reason of a bunch of cars going really fast. And audiences couldn't WAIT to see a bunch of cars going really fast. Maybe these people should watch NASCAR or something, then they won't have to worry about ignoring some piddly plot. If you want to see a GOOD movie with cars see Bullitt.",howardbrown,2012-02-01,2012
