Rating,Title,Content,Author Name,Date,Year,Negative Score,Neutral Score,Positive Score,Overall Percentage Score,Overall Sentiment
10.0,Definitely much better than Roper and Leno painted it!,"For one thing, the caption that identifies the jetliner as landing at Tokyo International Airport was very useful. Because, otherwise, ALL THAT SCENE SHOWED WAS A JETLINER LANDING! Something that could have been stock footage shot at some other airport, for some other movie, over the last twenty years. Secondly; the writers of this movie tell a completely new story (for the most part). No overseas assignment for FBI Agent Conner, the lead-footed undercover guy from the first two flicks. Nope! We get a whole new lead-foot, named Sean Boswell. A navy brat whose parents are divorced: the mom living in Texas. And, the dad living in Tokyo. The street-racing segment that gets Sean exiled to Japan is refreshingly realistic, with regard to the consequences (both medical and legal). So, too, is Sean's ‘fish-out-water’ feeling, during his first day in a school where English is REALLY a second language! That's where he meets Twinkie (an African-American army brat and Donald Trump wanna-be) And, through him, Han: a Chinese-American expatriate who is both rival and business partner of ‘DK’ Takashi (nephew of a local yakuza bigwig). The ‘Romeo and Juliet’ thing that develops between Sean and Neela (Takashi's half-gaijin girlfriend) is admittedly a little predictable. But, the way they start to get to know each other isn't any more far-fetched than, say, Ren McCormick and Ariel Shaw, in the deservedly classic ‘Footloose.’ Two strangers in a strange land, getting to know each other, and building up gradually, from there. But, the street-racing sequences are, of course, the main attraction. I admire the stunt doubles who REALLY handled the driving in those scenes! I certainly don't envy them, however. Especially, the climactic race down that Japanese mountain road. Hoo-boy! I swear: I got vertigo just WATCHING those shots of what waited just beyond each cliffside curve. I guess the only other thing I can say, in favor of this movie, is the uncredited cameo towards the end. You continuity addicts will love it. *Insert mischievous snickering here.*",Carycomic,2006-06-16,2006,0.022,0.899,0.08,0.9714,Positive
10.0,intense car chases leaving you on the edge of your seat!,"wow.. i had my thoughts about this movie.. i liked the first 1.. i watched half of the second one and i quite watching it half way in it.. and now were at the third one.. when it started i was like interesting. about not even 5 minutes in the movie, we see one of the many car chases/races that will leave you on the edge of your seat. for people that didn't think this movie had a story, it sure did, and it flowed good. the theathre was full and i don't think anyone left but i was too focused on the movie.. i can well say it was well worth the admission price. i highly recommend this for car racing fans or someone looking for a lot of action. 10/10!",video_game_lover_122,2006-06-16,2006,0.007,0.818,0.175,0.9663,Positive
10.0,Running in the 90's.,"Way better than the first two, though the lead actor had this mid-western accent which threw me off a little. Some of the drifting was unrealistic, but the storyline wasn't all hip-hop'd out with stupid walking styles and saying ‘breh’ and ‘brah’ at the end of every sentence. The Teriyaki boyz' theme song was good, the storyline was pretty good and the girls are hot of course. If anyone has seen the Initial D movie, then this movie is better than that one. There is a little love story kind of, but most of it is drifting action. Keiichi Tsuchiya (the real, one and only Drift King) makes an appearance in it as an old man fishing ‘You call that drifting?",blackdakkon,2006-06-16,2006,0.032,0.77,0.198,0.9756,Positive
10.0,this movie was off the hook it was better then the first 2,"The Fast and Furious Tokyo Drift not only contained evos, skylines and the vielside Mazda rx7 it contained a lot of hot girls and for u guys that like classic cars it contained that. The 67 mustang they supped up wit a skyline engine was crazy and i know everyone will fall in love with it. Also a great ending it just never stopped wit the action the whole audience was going crazy at the end wit Vin diesal return but its only for like 2 mins, but this movie u will be on the edge of ur seats. This one was much better then the 2nd movie and just a little bit better then the first but the lead actor black is the next Paul walker this movie rocked.",ballermm,2006-06-16,2006,0.04,0.83,0.13,0.9188,Positive
10.0,It was a great movie!,This movie was the best!! I am so going to buy it when it comes out! I think the writers of the movie should make many more of Fast and the Furious movies and the next 1 should have Paul Walker!!Vin Diesel! nd Lucas Black!!!!! all in the same movie. That would be so0o0 awesome nd it should be in Europe!!! That would be great!Well everybody told me they enjoyed this movie nd so did I. Well I really am going to be waiting for another one coming out.. with Lucas Black in it. Man was Lucas Black hot in this movie!!Well yea I'm really going to buy this movie without a doubt on my mind!I mean the cars were hot and everything was hot in this movie!,Dlife921,2006-06-16,2006,0.026,0.853,0.121,0.9266,Positive
5.0,decent,possible spoilers The whole movie was great until about the end. There was a good plot line and everything. then they take an American classic a early to late 70's ford mustang gt and put a Nissan engine in it. i realize some of you may not get this but i am the biggest fan of muscle cars. this pisses me off so much. i do not know what the hell they were thinking The main point of the movie though was good and the plot lines were done well. i do believe that they will do another movie to wrap up the series including Vin diesel and Dom torentto. i think that there idea of releasing a commerical ruined the surprise but there was a big competition between that and nacho libre.,Pschmeiser,2006-06-16,2006,0.091,0.792,0.117,-0.0065,Neutral
10.0,Beautiful Film,"At first, I wasn't sure how Justin Lin could pull off the whole drifting scene and make a story out of it. I went in with high hopes and left even happier. Lucas Black has another great performance in another great film. He has a bright future ahead of him. Every racing sequence in this film is amazingly done and is all real. In the first two films, you could notice that the racing sequences were all done on a computer. Here, you can tell it's really happening. I highly recommend that the car lovers should go see this film. Especially if you love drifting. I'm a fan of all types of racing and I loved this film. I know I'll be making another trip back to see it. Also, the first racing sequence is AMAZING. It's pretty accurate to how a race could start. I give this film, a 9 out of 10.",fenderbass2122,2006-06-16,2006,0.011,0.763,0.227,0.9912,Positive
10.0,Blew Me Away,"There is no doubt that automobile racing is becoming an obsession in many parts of the world, including Japan, it seems. Tokyo is a city full of lights and music and also a dark side, including gangsters and reckless racers, much like the untamed America of the prohibition era. Lucas Black, a rebellious Alabama teen racer, is sent to his father in Tokyo to settle down. Instead, Lucas learns the sport of ""drift racing"" from Japanese gangster youth in which racers use spinning tires and their brakes to make fast turns around the curves of parking garages and mountain roads. Those who aspire to win smiles from the foxy Japanese girls and the admiration of Japanese males have to win these drifting contests. Despite a steep learning curve, young Lucas does not disappoint in this matter. This movie has superb photography of the beautiful people and stirring landscapes of Tokyo. The exciting action and inspiring music have to be experienced to be believed. The ensemble of young men and women does a great job of providing a glimpse of this advanced culture of modern Japanese youth, overflowing with style and passion. This movie skillfully shows off modern Japan as perhaps a neglected subject of cinema. And, the well-crafted and intricate plot is full of teenage rivalry and violence, similar to an updated ""Rebel Without a Cause,"" very fascinating and passionate.",phillipstephenso,2006-06-16,2006,0.059,0.744,0.197,0.9892,Positive
1.0,Disappointing to say the least.,"For being an American movie on a Japanese concept, I first expected it to be a mess. But after checking out the movie website I saw that they did some homework, so I had moderate-low expectations going in. And with those expectations, I was rather disappointed. It was no Shuto Kousoku Trial and I'm well surprised that Keiichi Tsuchiya dared have anything to do with it.For starters the dialogue was terrible generic canned phrases all through the movie, but that was to be expected of a mainstream Hollywood production. Most notably would have to be the camera work which is the choppiest work I've ever seen done. In an attempt to make scenes more dramatic and appear faster than they were, the fast camera movement only wound up leaving the viewer with mere pieces of what was going on, rather than conveying an actual scene; it wasn't styled either, it was just bad. Even for being obviously low budget (canned dialogue, little scenery, etc.) the plot was clearly quite formulaic and the main character simply embarrassing to watch. I don't even want to start on the hair-thin plot and unnecessary sexualization. Maybe I've just grown out of that junk.There were, however, two or three good (yet painfully brief) scenes that just had a good feeling to the way they were done (like they kept the camera still for more than a second and combined elements like plot and environment). Also, the character Han is fantastic in his Japanese manner of doing things, but his character is ruined by two significant events, the first of which is something he does that is unfortunately way out of character. That's what brings this movie up to a 3/10 rating for me.",soulshinobi,2006-06-16,2006,0.11,0.796,0.094,-0.7378,Negative
6.0,"Hans Prequel, Already made.","Hans prequel has already been made, I guess none of us never knew about it .check out Better Luck Tomorrow : http://www.imdb.com/title/tt0280477/ I'm gonna go try and rent it tonight if its around here.Well apparently i need at least 10 lines of text... Apparently this movie IS the pequel to what han did before fast and the furious 3. I don't know if it has a younger version of...you know who. but I'm hoping it does, I'd also Love to see how hans life started off in the drifting world.",forestfeet,2006-06-16,2006,0.023,0.843,0.133,0.9022,Positive
