Rating,Title,Content,Author Name,Date,Year
10.0,Definitely much better than Roper and Leno painted it!,"For one thing, the caption that identifies the jetliner as landing at Tokyo International Airport was very useful. Because, otherwise, ALL THAT SCENE SHOWED WAS A JETLINER LANDING! Something that could have been stock footage shot at some other airport, for some other movie, over the last twenty years. Secondly; the writers of this movie tell a completely new story (for the most part). No overseas assignment for FBI Agent Conner, the lead-footed undercover guy from the first two flicks. Nope! We get a whole new lead-foot, named Sean Boswell. A navy brat whose parents are divorced: the mom living in Texas. And, the dad living in Tokyo. The street-racing segment that gets Sean exiled to Japan is refreshingly realistic, with regard to the consequences (both medical and legal). So, too, is Sean's ‘fish-out-water’ feeling, during his first day in a school where English is REALLY a second language! That's where he meets Twinkie (an African-American army brat and Donald Trump wanna-be) And, through him, Han: a Chinese-American expatriate who is both rival and business partner of ‘DK’ Takashi (nephew of a local yakuza bigwig). The ‘Romeo and Juliet’ thing that develops between Sean and Neela (Takashi's half-gaijin girlfriend) is admittedly a little predictable. But, the way they start to get to know each other isn't any more far-fetched than, say, Ren McCormick and Ariel Shaw, in the deservedly classic ‘Footloose.’ Two strangers in a strange land, getting to know each other, and building up gradually, from there. But, the street-racing sequences are, of course, the main attraction. I admire the stunt doubles who REALLY handled the driving in those scenes! I certainly don't envy them, however. Especially, the climactic race down that Japanese mountain road. Hoo-boy! I swear: I got vertigo just WATCHING those shots of what waited just beyond each cliffside curve. I guess the only other thing I can say, in favor of this movie, is the uncredited cameo towards the end. You continuity addicts will love it. *Insert mischievous snickering here.*",Carycomic,2006-06-16,2006
9.0,Good movie elevated by awesome action.,"This movie has to be the most entertaining thing i have seen all year even though i still think the first one was better. But moving it to Tokyo was a smart move as this brings a fresh atmosphere. Some of the acting was terrible but what do you expect. Lucas Black is a likable replacement for Paul Walker and Bow Wow does okay. Some of the Japanese actors are really good, but the real stars are the cars and boy do they look good, they go from show ponies - twink's car to awesome drift cars- Han's car. The action sidepieces are totally amazing the action goes from good to great through the movie. Over all this is an awesome popcorn movie and i recommend it to everyone just for the action and the big surprise at the end!! 10 out of 10",the_con_man298,2006-06-16,2006
5.0,eh...,"if you like minimum plot concern, tricked-out cars, Japan, Japanese mafia, Japanese girls(Harijuku girls especially) and drift racing... go for it. the oldest kid from the Home Imporvement sitcom makes his first appearance since First Kid as a cocky jock, i thought that was worth a good chuckle in the theater. too many special effects, half of them were in there for suspense... but they weren't so believable if you've watched drift racing. there was one chase scene where they skidded through traffic and inbetween cars... to me it felt that they tried to push a whole lot of drift racing into some of the action scenes.",sketchbook_romance,2006-06-16,2006
10.0,The fats and the furious Tokyo drift,"I saw fast and the furious Tokyo drift today it was an excellent movie and i'd love to see it again. It did include Vin Diesel although he wasn't a main character it least the director tried to include him. The cars were gorgeous and i thought while i was watching it i want to be like them i want to be a car racer. Which i've always wanted to do but now i want to be a racer even more. Of course these films must influence people like me to want to be like them and race cars and drift. But also it makes you change your mind as Han, Shawns friend dies in it which made me want to cry. He died when they were racing and D.K was racing after them. Then the car was burning and Shawn was walking up to it and it exploded. This was the saddest part of the movie. The movie was fantastic and when i buy it on DVD i'm probably going to be up watching it every night! They had fantastic cars in the movie my favourite was the Nissan 350Z which D.K at the beginning of the movie drove. The cars were gorgeous and when i'm 17 i'm going to have my driving test in a Nissan 350Z on my birthday. To sum the movie up it was a brilliant movie and there was some gorgeous guys and cars. Also the music was great and i hope they bring out a soundtrack for the film. Lucas Black was always fantastic in this movie as well as Nathalie Kelley i hope the next one comes out soon and the DVD comes out soon because i want to watch it every day. I also hope Lucas Black and Nathalie Kelley are in the next ones. Also Lucas Black seemed more tough then Paul Walker. Thankyou for your co-operation. If you have not yet seen the movie. SEE IT!!! Its the best one so far! Its also my favourite movie ever now!!!!!!",igraynelewis,2006-06-16,2006
5.0,Eye Candy just like the other 2,"Fun, Fast and Flashy. Like the other 2 it mostly ignores physics and completely ignores common sense. The drifting is cool but better in person with real professionals. I think a good half of the drifting in this was CG. Hell there was more ""real"" drifting in the Dukes of Hazard remake.Finally I think the most annoying part was during the major chase through Tokyo none of these drivers ""drove"" to get away. Drifting is NOT the fastest way through a corner, so if your running from someone why would you drift.Any way, I enjoyed it but if you like cars or racing, and have a average understanding of both, your gonna be shaking your head a lot.",Physicker,2006-06-16,2006
6.0,"Hans Prequel, Already made.","Hans prequel has already been made, I guess none of us never knew about it .check out Better Luck Tomorrow : http://www.imdb.com/title/tt0280477/ I'm gonna go try and rent it tonight if its around here.Well apparently i need at least 10 lines of text... Apparently this movie IS the pequel to what han did before fast and the furious 3. I don't know if it has a younger version of...you know who. but I'm hoping it does, I'd also Love to see how hans life started off in the drifting world.",forestfeet,2006-06-16,2006
1.0,Disappointing to say the least.,"For being an American movie on a Japanese concept, I first expected it to be a mess. But after checking out the movie website I saw that they did some homework, so I had moderate-low expectations going in. And with those expectations, I was rather disappointed. It was no Shuto Kousoku Trial and I'm well surprised that Keiichi Tsuchiya dared have anything to do with it.For starters the dialogue was terrible generic canned phrases all through the movie, but that was to be expected of a mainstream Hollywood production. Most notably would have to be the camera work which is the choppiest work I've ever seen done. In an attempt to make scenes more dramatic and appear faster than they were, the fast camera movement only wound up leaving the viewer with mere pieces of what was going on, rather than conveying an actual scene; it wasn't styled either, it was just bad. Even for being obviously low budget (canned dialogue, little scenery, etc.) the plot was clearly quite formulaic and the main character simply embarrassing to watch. I don't even want to start on the hair-thin plot and unnecessary sexualization. Maybe I've just grown out of that junk.There were, however, two or three good (yet painfully brief) scenes that just had a good feeling to the way they were done (like they kept the camera still for more than a second and combined elements like plot and environment). Also, the character Han is fantastic in his Japanese manner of doing things, but his character is ruined by two significant events, the first of which is something he does that is unfortunately way out of character. That's what brings this movie up to a 3/10 rating for me.",soulshinobi,2006-06-16,2006
8.0,Better than 1 and 2,"It's easy to beat 2, so that isn't saying much. However, in my mind it is even better than the first. Neither necessarily has a great storyline, though number 1 had the most likely one. However, where the first one failed, Tokyo Drift delivers.People don't go see movies like this for substance and content. They go to see cars race. Autophiles and racers go to see the tricked out cars and hear the names of their suppliers being used on the big screen. The first installment in this series used a lot a jargon unknown to non to non-racers, and to those who were in the know, the movie was a joke. Tokyo Drift gets away from all the pretenses and delivers what the truth is: few people use Nitrous Oxide, and racers drive because they love it, money or none, just to see who is the best.The cars are great. It was wonderful too see the makes and models you are used to seeing out there, instead of all these tricked out high priced rice racers. The best cars to race aren't necessarily the most expensive. The racing was more about skill than power, and that's the truth. First off the line means jack if you don't know your wheels. The racing scenes are top notch. Gone are the shaky camera angles and digitally enhanced shots of cars flying by at 140mph with nitrous in full bore. Instead, we get cool shots using cell phones, and up close angles of vehicles gliding across pavement and narrowly missing the camera. The action shots are wonderful, and many are real shots, not computer digitized as referenced by the end credits begging us not to go out and attempt these stunts that were performed on closed roads by professional drivers. We're not talking your standard danger tag, we're talking full size text on it's own screen. These drifters are for real, and that just enhances the feel for the film.Finally, and parents will love this, it is relatively clean. I don't think i heard a single f-bomb in the whole movie. I'm not saying that there is no cussing, but that it is so moderate and background oriented, that you can watch the movie and not even remember hearing it. There are about 5 or 6 kissing scenes, and only one contains a semi-main character. The worst content you will see here is skimpy outfits.This is just a fun, fun movie. It's not going to win any awards, but it has definitely set itself up to top the original in box office gross and will no doubt surpass 2 fast 2 furious. Don't be afraid to take the 13+ kidding to see this, though under 8-10 may be pushing it, unless they really understand cars and racing.",deac0n_fr0st,2006-06-16,2006
10.0,Beautiful Film,"At first, I wasn't sure how Justin Lin could pull off the whole drifting scene and make a story out of it. I went in with high hopes and left even happier. Lucas Black has another great performance in another great film. He has a bright future ahead of him. Every racing sequence in this film is amazingly done and is all real. In the first two films, you could notice that the racing sequences were all done on a computer. Here, you can tell it's really happening. I highly recommend that the car lovers should go see this film. Especially if you love drifting. I'm a fan of all types of racing and I loved this film. I know I'll be making another trip back to see it. Also, the first racing sequence is AMAZING. It's pretty accurate to how a race could start. I give this film, a 9 out of 10.",fenderbass2122,2006-06-16,2006
5.0,decent,possible spoilers The whole movie was great until about the end. There was a good plot line and everything. then they take an American classic a early to late 70's ford mustang gt and put a Nissan engine in it. i realize some of you may not get this but i am the biggest fan of muscle cars. this pisses me off so much. i do not know what the hell they were thinking The main point of the movie though was good and the plot lines were done well. i do believe that they will do another movie to wrap up the series including Vin diesel and Dom torentto. i think that there idea of releasing a commerical ruined the surprise but there was a big competition between that and nacho libre.,Pschmeiser,2006-06-16,2006
