Rating,Title,Content,Author Name,Date,Year,Sentiment Overall,Negative Score,Neutral Score,Positive Score,Overall Percentage Score
7.0,"Still fast, still furious","Fast and Furious, or 4 Fast 4 Furious if you're keeping count, is a movie you can basically sum up in one sentence. Muscle guys, muscle cars, hot chicks, and incredible action sequences. Not much has changed in the four films other than who the muscle guys wind up being played by but nonetheless, if you're going to the movies strictly to continually watch these things, then not only will this series run forever, but you should have no problem sitting through this fourth flick. Of course the other thing to look at here is the resurrection of Vin Diesel's action star persona, and considering he's been doing movies like ‘Babylon AD’ and ‘The Pacifier’ for the past couple years, you can basically say this is one of his better performances in a real long time. The plot is pretty thin but I'm sure for fans of the first movie it will be nice to see the two leads back playing their roles. Diesel reprises wanted felon Dom Toretto, who after escaping at the end of the first movie seems to have started a new life in the Dominican Republic knocking over trucks. What brings him back to Los Angeles is revenge for the death of his girlfriend (Michelle Rodriguez) at the hands of brutal drug dealers led by Braga. This brings him face to face with the man who infiltrated his gang in the first flick, Brian O'Connor (Paul Walker), now an FBI agent going after the same drug dealers. And wouldn't you know that driving plays a big part in Braga's whole smuggling operation so both Brian and Dom team up, amidst some trust issues, to bring down the drug cartel. Hopefully director Justin Lin (‘Tokyo Drift’) gets the credit he deserves this time around. He's fantastic with these action sequences, not only making them pulse-pounding thrill rides but also letting you feel like you're in the car with these characters. The movie starts out brilliantly with a propane truck hi-jacking that turns life or death when things get out of control and the truck barrels down on the hi-jackers, and then just continues to go full throttle, staging a race on a crowded Los Angeles street and then chases in an underground tunnel shaft. Once these characters get in their cars you won't be bored for a moment. Outside the car is a different matter though. Both actors do what they can. Diesel is adrenaline personified. With his gravelly voice, bulging biceps, and cool, playful way around a line of dialogue, he's a lot of fun to watch. And while still pretty wooden, I admit that Walker has a pretty-boy face and an athletic physicality that makes him a good hero. This pairing worked well in the first movie, sort of like an amateur, yet entertaining, version of the adrenaline-seeking- cop and criminal formula a la ‘Point Break.’ Just after four movies it's all gotten stale and it's easy to see that the cars are the real stars here. The Dom-Brian conflict and Dom's vendetta against the cartel is mostly overshadowed and there isn't much for either character to do when away from their vehicles. Diesel and Walker try but they always seem to be a couple wheels short of competing with the four-wheel drive. ‘Fast and Furious’ deserves credit for doing the key things well. If your expecting much from anything other than the cars then it's a disappointment, but thanks to Justin Lin this has all the makings of a really thrilling action movie, making this fourth flick in the series a little bit better than its predecessors and a lot of fun.",C-Younkin,2009-03-30,2009,Positive,0.061,0.77,0.17,0.9974
4.0,First Five Minutes. Over,"Definitely, good for car-fans. Since I'm not one of them, I tried to view it as objectively as I could.The first five minutes rock indeed - a masterwork of ""road-action"". But, once we get over them, and the REAL ACTION begins, all goes constantly down, to ultimately fall sort of flat. The main failure remains what was purported to me, in the movie-writing terminology, the ""main event"": the demented car race trough the Los Angeles traffic - much below what it should have been! Between the chases and other hot-wheels scenes, the story-line is uselessly complicated, and the directing, correct and nothing more. Points again for he stylish animation of the final credits. And this should be all. Sadly inferior to ""Death Race"", for instance, which DID KNOW how to deliver to motor-fans!",Mihnea_aka_Pitbull,2009-04-01,2009,Negative,0.137,0.817,0.046,-0.9504
4.0,In automatic transmission,"Exhausted and pretty much running on synthetic artistry, ""Fast & Furious"" not only drops its definite article from the title but also much of the natural car chase sequences and canny blithe in place of heavily computer-generated action set pieces and a palpably inappropriate seriousness. Returning director Justin Lin (from the third installment ""The Fast & The Furious: Tokyo Drift"") impersonally helms this fourth installment that reunites its original lead cast for more physics-defying engines, brain-dead logic, scantily clad bimbos, and foot worship for good measure.Not that its target audience would primarily look for it but there's a plot and it involves Dom Toretto (Vin Diesel) who's out to avenge the murder of a loved one courtesy of a drug kingpin. This leads him to another reluctant team-up with undercover FBI agent Brian O'Connor (Paul Walker) and once again they are thrust into hazardous street racing from downtown LA to Mexico, and the run-of-the-mill narrative more or less goes into auto-drive from here.Largely debilitating for this latest hot rod project is its cliché-ridden script that has not a meager of inventiveness or eagerness, a sentiment apparently shared by its actors who are simply going through the motions, specially Diesel who highlights ""Fast & Furious""' misplaced intentness by exhibiting a labored sensitivity despite the caricature machismo. And though everything that has kept the series going is here gratuitously put at disposal, which is to say loads of wheels and hot-looking females, as a whole it starts to feel repetitive - a redundant profit-oriented scheme that cannot be saved by the sporadic appearance of Jordana Brewster.",Jay_Exiomo,2009-04-01,2009,Positive,0.097,0.791,0.112,0.5426
10.0,"Great action, Nice cars and plenty of sexy babes too!","I built this movie of 6 reels last night and screened it in the theater where I work at , Great movie loved it, nice cars nice babes too! Plenty of action and some romance. Vin Diesel and Paul Walker getting a little aged. He (Walker) shows it too when getting his ass kicked by Vin screaming and kicking like a little girl that he is, (funny) Jordana Brewster nice addition to the crew. Hope we see more of this sweet heart in the future! Muscle beats imports any day! you are 4 miles from your destination, you are now 1 mile from your destination! Liked #1, sorry to not see Vin in #2, #3 Tokyo Drift? Where did That one come from? Either way all 4 are great films and will continue to be watched by me on DVD's forever!",5klogiudice,2009-04-01,2009,Positive,0.042,0.706,0.253,0.9901
8.0,Is this one the best one yet?,"This was a good movie. They were able to bring back all the things that made the first one great like Vin Diesel, Jordana Brewster, and Paul Walker, and let go of the things that did not work so well. All the things that you loved in the first one are here and a little more. Vin Diesel does a great job from start to finish. In parts of the movie it almost makes you want to leave your seat and cheer. For all you Paul Walker haters out there he did a good job as well. He is like a backup quarterback in the NFL you want him to manage the game don't try to do to much just do what is takes to win. Walker is not the star of the movie, but behind the star he manages his part well. He does a good job of playing his part and not going beyond that and try to make a great performance. Walker acts within his ability. I for one am not a Walker hater so I never felt like he did a bad job, but I know there are a lot of you out there and you will be happy with his performance in this movie. Just the right blind of action and cars. For all the people that loved Han from Tokyo Drift don't get really excited, his role is only for about 3 minutes at the beginning of the movie. This is not a movie that is going to win any Academy Awards, but it is a movie that will keep you entertain for an hour and forty five minutes. Worth the movie to pay to see this one in the theater. Which is saying a lot for the way the economy is right now. It is the best one in the series.",blake-brown20,2009-04-02,2009,Positive,0.05,0.744,0.206,0.995
10.0,"Great movie, better than present movies","This is a great movie. A lot of action, deep drama, common-sense dialogue. This is pretty much a little grown up movie. This is definitely not a video game kind of movie. Vin Diesel is good in this movie with deep drama and struggle. I liked the dialogue that was real world. I liked the cars.This movie is definitely recommended for all younger people if you like or not like cars. This movie also doesn't have too much racing, which is fine. Watch the movie and your weekend will be much more entertaining. Ending was great too.Director Justin Lin did a fine job of directing the movie, which is crucial to sequel movies that tend to lose the depth and character development. He actually made it more serious movie than I expected and character development is well. I was expecting non-sense 24/7 racing with no dialogue, which it wasn't like that.",tom1111,2009-04-02,2009,Positive,0.071,0.718,0.211,0.9763
6.0,Same formula,"Comparing the original, I would say this sequel falls short of expectation. The storyline is very cliché and it is very predictive. Its the same tried and tested formula, similar to the 1st two movies. I don't see the Fast and Furious series movie this way. Tokyo Drift brought something different to the table, which I've to give Justin Lin the credit for it. This movie however goes back to the preview plot outlines of 1 and 2. Vin and Paul don't bring conviction in their roles, which I feel they probably opted for this movie for the sake of it.On the whole its popcorn fun. You get to see fast cars, hot chicks and good action sequences.I rate it 6/10",vishr,2009-04-02,2009,Positive,0.028,0.887,0.085,0.7506
6.0,Again,"Before i write anything about the movie the reason they make sequels is for money especially this one since they brought back the original cast. If you like the fast and the furious saga then definitely this is a must see, they brought back the two hottest stars of the saga for the sequel. The plot like usual isn't what captures the viewers attention, its always the cars and hot girls. They reunited Vin Diesel and Paul Walker which is great but we don't want to see the same cars again. Nissan Skyline is a great tuner vehicle but we've seen it before same goes for the American muscle. This one has similarities like the first movie of the series which is the drama scenes which were a lot more than the action sequences. The action sequences done in the car were eye catching but the chase done on feet was unrealistic and brutal, even the first action scene where Diesel drives under the gasoline truck was plain ‘stupid’. The first one was about the tuned up cars and the storybetween Paul walker and Vin diesel, 2nd one was about crime and alittle action, third one was fully about drifting, and now they reunited the hottest stars of the saga to recreate the magic of the trilogy. It has everything except the ‘magic’,it relvoves around the death of Michelle Rodriguez which is already a downfall since she is proabaly the best girl for the job. The critics have bashed this movie, some critics say it's 8thgrader vocabulary used in the script, but lets be straight forward we don't watch movies like this for stories or the never ending drama, if we wanted watch movies like that we'll only watch Oscar nominated movies. Action flicks like these are enjoyed by viewers, scenes that capture your attention and blow you away, making the impossible stunts possible. From what i heard there is a 5th installment which is good news for people who love cars from American muscle to tuned up skyline's. I am excited about the 5th version only if Micheal bay could direct the movie it will certainly have extraordinary chase sequences.If you liked the first three then it's worth a look, don't get overly manipulated by the critics and watch it for entertainment value and don't expect the story to be creative. I wouldn't rate this movie out of 10 but it deserves a 6 just for the fact many scenes could have been improved maybe they cut back on the budget but it's worth viewing it at the big screen.",babu_145,2009-04-02,2009,Positive,0.065,0.779,0.156,0.9929
8.0,Now that's what being FAST is about!!!,"FAST..........FASTER and.......FASTEST.........all three words describe this one helluva action packed n pacey roller coaster ride........... The Movie opens to an exceedingly amazing action sequence where Dom n his friends, including Letty try to do what they are best at.......yup u right heist.........WOW!!! what a scene. Right after that the movie takes a serious path for a short while. Where Dom leaves Letty sleeping n goes away from her n goes to Panama. That's where he receives a bad news about someone's death(i won't disclose it) but it was a shock.......coz dat was d best character in d series. He then sets out to track down the one responsible. In comes Mr O'Connor looking like that something has changed and believe me it has changed for the better This 'New Model, Old Parts' is working. The action sequences are perfectly shot, Direction is cool, acting was amazing, Vin was cool as ever, the jokes were on the right place and in the right proportion. I thought it was better than Fast And The Furious(part 1). Although in the fast paced movie the script wasn't given much emphasis. But who needs a detailed script if the screenplay is damn good and can keep you on the edge of your seat. I go for 8 out of 10 for Fast and Furious 4.........The Fast just got Faster.....and how. GO WATCH IT!!!........coz u won't regret......",Tim_Jade,2009-04-02,2009,Positive,0.043,0.762,0.195,0.9924
10.0,Fantastic & Fabulous movie,"The movie is awesome man ,just awesome.U cant afford to miss it.I saw this first day first show & liked it very much.Now listening the films OSTs.Vin Diesel delivered his best after a long time.His last movie Babylon A D was a huge flop (in terms of revenue,though i liked his bad a$$ acting as a retired mercenary.In this Vin Diesel delivers his best,he just picks it up where he left off in F&F 1.The story also tries to tie the loose ends & answer some questions which were in the fans minds.Paul Walker also did great job.He added some comic timings in the movie which could make u laugh in some serious moments.I never liked Michelle nor Jordana,so I wont comment on them.Gal Gadot is the new chick whom u should look for ;).IMO shes hotter than other two.Shes the new girl on the F&F series :D Btw don't miss the opening of the movie.Coz start from the beginning,the movie has some great car revving & tire screeching scenes.When u have nice cars,Vin Diesel,Gal Gadot.Do u need a plot? If u want a plot driven go watch The Wrestler or Changeling :P Anyways coming back to the point,this movie deserves a watch at theaters only.Btw this is not the last installment of the series.....at least we can hope so.Rating : I give 4 out 5 Why did I cut the 1 out 5?Coz at the beginning there was Spanish to which no subs was provided :D",spycid,2009-04-02,2009,Positive,0.056,0.775,0.17,0.9871
