Index,Rating,Title,Content,Author Name,Date,Year
0,7.0,"Still fast, still furious","Fast and Furious, or 4 Fast 4 Furious if you're keeping count, is a movie you can basically sum up in one sentence. Muscle guys, muscle cars, hot chicks, and incredible action sequences. Not much has changed in the four films other than who the muscle guys wind up being played by but nonetheless, if you're going to the movies strictly to continually watch these things, then not only will this series run forever, but you should have no problem sitting through this fourth flick. Of course the other thing to look at here is the resurrection of Vin Diesel's action star persona, and considering he's been doing movies like ‘Babylon AD’ and ‘The Pacifier’ for the past couple years, you can basically say this is one of his better performances in a real long time. The plot is pretty thin but I'm sure for fans of the first movie it will be nice to see the two leads back playing their roles. Diesel reprises wanted felon Dom Toretto, who after escaping at the end of the first movie seems to have started a new life in the Dominican Republic knocking over trucks. What brings him back to Los Angeles is revenge for the death of his girlfriend (Michelle Rodriguez) at the hands of brutal drug dealers led by Braga. This brings him face to face with the man who infiltrated his gang in the first flick, Brian O'Connor (Paul Walker), now an FBI agent going after the same drug dealers. And wouldn't you know that driving plays a big part in Braga's whole smuggling operation so both Brian and Dom team up, amidst some trust issues, to bring down the drug cartel. Hopefully director Justin Lin (‘Tokyo Drift’) gets the credit he deserves this time around. He's fantastic with these action sequences, not only making them pulse-pounding thrill rides but also letting you feel like you're in the car with these characters. The movie starts out brilliantly with a propane truck hi-jacking that turns life or death when things get out of control and the truck barrels down on the hi-jackers, and then just continues to go full throttle, staging a race on a crowded Los Angeles street and then chases in an underground tunnel shaft. Once these characters get in their cars you won't be bored for a moment. Outside the car is a different matter though. Both actors do what they can. Diesel is adrenaline personified. With his gravelly voice, bulging biceps, and cool, playful way around a line of dialogue, he's a lot of fun to watch. And while still pretty wooden, I admit that Walker has a pretty-boy face and an athletic physicality that makes him a good hero. This pairing worked well in the first movie, sort of like an amateur, yet entertaining, version of the adrenaline-seeking- cop and criminal formula a la ‘Point Break.’ Just after four movies it's all gotten stale and it's easy to see that the cars are the real stars here. The Dom-Brian conflict and Dom's vendetta against the cartel is mostly overshadowed and there isn't much for either character to do when away from their vehicles. Diesel and Walker try but they always seem to be a couple wheels short of competing with the four-wheel drive. ‘Fast and Furious’ deserves credit for doing the key things well. If your expecting much from anything other than the cars then it's a disappointment, but thanks to Justin Lin this has all the makings of a really thrilling action movie, making this fourth flick in the series a little bit better than its predecessors and a lot of fun.",C-Younkin,2009-03-30,2009
1,4.0,First Five Minutes. Over,"Definitely, good for car-fans. Since I'm not one of them, I tried to view it as objectively as I could.The first five minutes rock indeed - a masterwork of ""road-action"". But, once we get over them, and the REAL ACTION begins, all goes constantly down, to ultimately fall sort of flat. The main failure remains what was purported to me, in the movie-writing terminology, the ""main event"": the demented car race trough the Los Angeles traffic - much below what it should have been! Between the chases and other hot-wheels scenes, the story-line is uselessly complicated, and the directing, correct and nothing more. Points again for he stylish animation of the final credits. And this should be all. Sadly inferior to ""Death Race"", for instance, which DID KNOW how to deliver to motor-fans!",Mihnea_aka_Pitbull,2009-04-01,2009
2,4.0,In automatic transmission,"Exhausted and pretty much running on synthetic artistry, ""Fast & Furious"" not only drops its definite article from the title but also much of the natural car chase sequences and canny blithe in place of heavily computer-generated action set pieces and a palpably inappropriate seriousness. Returning director Justin Lin (from the third installment ""The Fast & The Furious: Tokyo Drift"") impersonally helms this fourth installment that reunites its original lead cast for more physics-defying engines, brain-dead logic, scantily clad bimbos, and foot worship for good measure.Not that its target audience would primarily look for it but there's a plot and it involves Dom Toretto (Vin Diesel) who's out to avenge the murder of a loved one courtesy of a drug kingpin. This leads him to another reluctant team-up with undercover FBI agent Brian O'Connor (Paul Walker) and once again they are thrust into hazardous street racing from downtown LA to Mexico, and the run-of-the-mill narrative more or less goes into auto-drive from here.Largely debilitating for this latest hot rod project is its cliché-ridden script that has not a meager of inventiveness or eagerness, a sentiment apparently shared by its actors who are simply going through the motions, specially Diesel who highlights ""Fast & Furious""' misplaced intentness by exhibiting a labored sensitivity despite the caricature machismo. And though everything that has kept the series going is here gratuitously put at disposal, which is to say loads of wheels and hot-looking females, as a whole it starts to feel repetitive - a redundant profit-oriented scheme that cannot be saved by the sporadic appearance of Jordana Brewster.",Jay_Exiomo,2009-04-01,2009
3,10.0,"Great action, Nice cars and plenty of sexy babes too!","I built this movie of 6 reels last night and screened it in the theater where I work at , Great movie loved it, nice cars nice babes too! Plenty of action and some romance. Vin Diesel and Paul Walker getting a little aged. He (Walker) shows it too when getting his ass kicked by Vin screaming and kicking like a little girl that he is, (funny) Jordana Brewster nice addition to the crew. Hope we see more of this sweet heart in the future! Muscle beats imports any day! you are 4 miles from your destination, you are now 1 mile from your destination! Liked #1, sorry to not see Vin in #2, #3 Tokyo Drift? Where did That one come from? Either way all 4 are great films and will continue to be watched by me on DVD's forever!",5klogiudice,2009-04-01,2009
4,7.0,The best of the series by a mile,"I just got back from the midnight screening of 'Fast & Furious' and I have to admit the movie very much exceeded my fairly low expectations for the film. While the original film was entertaining, it was never a good movie by any means. Let's not even get started on the two that followed. The fourth installment however, is another story. Most of the original cast has come back and seeing them back in action together really makes you realize the F&F franchise isn't the same without them. The chemistry between the three leads (Diesel, Walker and Brewster) is the strongest it's been yet, and I would dare to call several of the scenes 'moving' as a result. Who would have ever expected that from Fast & Furious. The movie does an excellent job of keeping you on the edge of your seat, there's no shortage of action and a story that keeps your attention. The movie starts out in the DR with Vin Diesel pulling off a fairly implausible heist of hijacking a fuel tanker with his new crew. Minutes later, we learn of Letty's murder which in turn basically sets the tone for the rest of the movie as Diesel sets off on an all out rampage to even the score. Like the previous three, you certainly need to suspend your disbelief for the duration of the movie, however I was glad to see they didn't go overboard and kept the special effects and CIG to what seemed like a happy minimum. Anyone who's ever been a fan of the Fast and the Furious series will absolutely need to go see this on the big screen. Even if you weren't so hot for the originals, the movie is still worth a look. In my opinion it's acting, story, plot, special effects are the best of the series so far and almost makes it stand out as a respectable movie. Better yet, they've left the door wide open for 'Fast & Furious 5'. To be continued...",phatrick88,2009-04-02,2009
5,8.0,A complete reboot of the franchise,"How do I sum up Fast and Furious. Well before I go any further let me just say that it was everything I expected and more. This movie was a reboot for the franchise, just as much as Batman Begins was for batman, Casino Royal was for Bond, The Incredible HULK was for the hulk series etc. It features a lot more of a dramatic storyline then the other movies and isn't just a complete popcorn flick displaying a lot of emotion and relasionships between the characters. The movie almost seems to play out now as more of a crime drama then a racing movie, but also features a lot of the racing high paced action we know and love.Well on with the characters/story for the movie. This movie features a returning cast from the past The Fast and the Furious movies. We have Vin Deisel back as Dom, Paul Walker back as Brian, Michell Rodriguez as Letty, Jordan Brewster as Mia, and other characters that return in the form of camio appearances(just to let you know, no Tyrese or Lucas Black). I thought all of the characters did a really good job, and their relasionships and emotions were explored a lot more. So the acting is a big upgrade from the past movies, but don't be stupid enough to compare it to Oscar winning performances or expect them to be at that level. The characters do their jobs and are all very likable.Now with the story, basically without many spoilers, the gang is brought together by the murder of a mutual friend. So Brian and Dom work together to find the killer, and to bring down a huge criminal organization. At the same time Brian struggles with his loyalties to his job and to his friends who are on completely different sides of the law, and is forced to make a choice on whether hes a ""good guy playing a bad guy or a bad guy playing a good guy"" (as Mia puts it). So ya its straight forword but a solid plot that really sets up the whole movie, and is not just a completely brainless popcorn flick.All in all Fast and Furious was a very worthwhile movie. In terms of where it stands in the franchise it greatly supasses 2f2f and Tokeyo Drift, and even manages to be as good as or better then the first one in some aspects. If I had to choose Id say the first was better, but this one definitely stands up and is a worthwhile addition to the series. Anyways I give Fast and Furious an 8/10 and totally recommend seeing it in theaters, as it is totally worth $10, and you will only get one chance to see all the action on the big screen where it is at its best.",merce_hoola,2009-04-02,2009
6,8.0,Definitaly better than Tokyo Drift,"I saw this movie about an hour ago.. overall i was pretty pleased with it the action is great. but the writing was a bit off some of the dialogue seemed corny and unnecessary.. i found my self almost laughing at lines that were supposed to be dramatic.. kinda like in twilight. id say it wasn't as good as the first but definitely the second best of the series.. the reason the first was better is because JA RULE was in it ha.. its not how you stand by your car, its how you race your car haha..only other complaint i guess is that its not really about racing anymore.. for example the first one was more about the culture of underground street racing.oh and Mia in this movie is a bit scary i guess she forgot how she did the original role because she almost looks like she has a joker smile ha",coreycat09,2009-04-02,2009
7,10.0,Fantastic & Fabulous movie,"The movie is awesome man ,just awesome.U cant afford to miss it.I saw this first day first show & liked it very much.Now listening the films OSTs.Vin Diesel delivered his best after a long time.His last movie Babylon A D was a huge flop (in terms of revenue,though i liked his bad a$$ acting as a retired mercenary.In this Vin Diesel delivers his best,he just picks it up where he left off in F&F 1.The story also tries to tie the loose ends & answer some questions which were in the fans minds.Paul Walker also did great job.He added some comic timings in the movie which could make u laugh in some serious moments.I never liked Michelle nor Jordana,so I wont comment on them.Gal Gadot is the new chick whom u should look for ;).IMO shes hotter than other two.Shes the new girl on the F&F series :D Btw don't miss the opening of the movie.Coz start from the beginning,the movie has some great car revving & tire screeching scenes.When u have nice cars,Vin Diesel,Gal Gadot.Do u need a plot? If u want a plot driven go watch The Wrestler or Changeling :P Anyways coming back to the point,this movie deserves a watch at theaters only.Btw this is not the last installment of the series.....at least we can hope so.Rating : I give 4 out 5 Why did I cut the 1 out 5?Coz at the beginning there was Spanish to which no subs was provided :D",spycid,2009-04-02,2009
8,10.0,Go See It!!!!!!,"#### the critics.. They don't know what they are talking about.. This movie is simply awesome and worth seeing..Ladies, Gentlemens, Boys & Girls.. Go to the nearest theater and see it..There are a few minor (plot)holes in the movie but they are easy to ignore because it's simply the best movie of the year in my opinion...This movie is for everyone..Just head out, sit down and enjoy a movie that will blow your mind.. I just think that this movie should have been made before Tokyo Drift but that's my opinion...That's all from me!!!.. Now, go out and see!!!",Michaelj-29,2009-04-02,2009
9,6.0,Again,"Before i write anything about the movie the reason they make sequels is for money especially this one since they brought back the original cast. If you like the fast and the furious saga then definitely this is a must see, they brought back the two hottest stars of the saga for the sequel. The plot like usual isn't what captures the viewers attention, its always the cars and hot girls. They reunited Vin Diesel and Paul Walker which is great but we don't want to see the same cars again. Nissan Skyline is a great tuner vehicle but we've seen it before same goes for the American muscle. This one has similarities like the first movie of the series which is the drama scenes which were a lot more than the action sequences. The action sequences done in the car were eye catching but the chase done on feet was unrealistic and brutal, even the first action scene where Diesel drives under the gasoline truck was plain ‘stupid’. The first one was about the tuned up cars and the storybetween Paul walker and Vin diesel, 2nd one was about crime and alittle action, third one was fully about drifting, and now they reunited the hottest stars of the saga to recreate the magic of the trilogy. It has everything except the ‘magic’,it relvoves around the death of Michelle Rodriguez which is already a downfall since she is proabaly the best girl for the job. The critics have bashed this movie, some critics say it's 8thgrader vocabulary used in the script, but lets be straight forward we don't watch movies like this for stories or the never ending drama, if we wanted watch movies like that we'll only watch Oscar nominated movies. Action flicks like these are enjoyed by viewers, scenes that capture your attention and blow you away, making the impossible stunts possible. From what i heard there is a 5th installment which is good news for people who love cars from American muscle to tuned up skyline's. I am excited about the 5th version only if Micheal bay could direct the movie it will certainly have extraordinary chase sequences.If you liked the first three then it's worth a look, don't get overly manipulated by the critics and watch it for entertainment value and don't expect the story to be creative. I wouldn't rate this movie out of 10 but it deserves a 6 just for the fact many scenes could have been improved maybe they cut back on the budget but it's worth viewing it at the big screen.",babu_145,2009-04-02,2009
