,Rating,Title,Content,Author Name,Date,Year
159,10,Brilliant to me like previous releases!!,"Fast and Furious Fast Five movie, with Vin Diesel and Paul Walker in the lead role is ready to enthrall the audience and is set to release this weekend.

Fast and Furious Fast Five movie, an action thriller is set to give the audience a drive with adrenaline rush and entertain them with fast running racing cars, chasing, action and car races. Vin Diesel and Paul Walker lead the plot of the story.

The story of the movie is about Brian O'Conner, a cop and Dom Toretto, who is an ex-con. Brian joins with Dom, which is against the law. Brian and Mia Toretto, played by Jordana Brewster, help Dom in breaking down the custody and cross the borders to run away from the legal authorities. In order to get free, they need to take up their one last job in Rio de Janeiro, Brazil.

They meet their superior team of top car races to take up the job for good means faces the businessman, who is corrupted wants them dead and he will be chasing them. Here comes the twist, as the business man is not only the one, but a federal agent Luke Hobbs, played by Dwayne Johnson is also behind them, assigned to trace Dom and Brian. As the plot goes on, agent Hobbs realizes that, they are being chased by some one else and he need to believe his instincts before some body nail down the group of Dom and Brian.

The action thriller movie, 'Fast Five' of Fast and Furious franchise is directed by Justin Lin and Universal Pictures would distribute the movie. Chris Morgan is the script writer of the movie. Vin Diesel, Paul Walker, Jordana Brewster, Chris ""Ludacris"" Bridges, Tyrese Gibson, Sung Kang, Gal Gadot, Matt Schulze, Tego Calderon, Don Omar, Elsa Pataky, Joaquim de Almeida, Dwayne Johnson are the other star cast of the movie.",sabbirworld,2011-04-28,2011
142,8,"Not only did it suppress the surrounding hype, it kicked, punched, shot and killed the hype.","I couldn't help but to applaud and cheer after the ending credits among with the rest of the over crowded people in the theatre. It exceeded my every expectation and being a hardcore fan of the fast and furious franchise I couldn't have asked for more from the 5th instalment. It has everything from bone crunching action, combat, shoot em up scenes and of coarse what's fast and furious without the cool dream cars.The gang are finally back together but for this time it's for one last job. The cast is recruited from a range of all the previous fast and furious movies.(1-4) Which was great to see all the characters back together kicking ass. Dwayne Johnson (The Rock) was impressive and my word he gave Vin diesel a tough competition (in the movie as well as their physique!) To be honest I had thought that fast 5 was just going to be a sappy Hollywood attempt just to bring the cash in, well I'll tell you this, the director, the cast and the rest of the crew have smashed the box office and deserve every penny of it. A perfect action/adventure flick for a night out whether your a fast and furious fan or not.After the phenomenal first instalment (the fast and the furious) A mediocre second instalment (2fast and 2furious) A inconvenient, mildly entertaining third instalment (Tokyo Drift) and a decent mildly thrilling fourth instalment (fast and furious) they bring back all the thrills, action, adventure and fun in fast and furious 5 (probably the best one out of the series so far)The 12a (PG-13) rating however did seem a bit dodgy. This film included far to much violence enough for it to easily be a 15 (this would allowed the film to bring slightly more adult themes and violence into the flick too)Don't get it twisted, this film is all Heist and not street racing but when it is as entertaining as this who cares? Thank god they avoided the ""3D era"" which in my opinion would just ruin the film due to the strange camera angles they do purposely to make it feel like it's in front of you. On that note the camera angles were actually really great and noticeable, especially when they show the spectacular RIO. (setting) Fast and furious fans will not be disappointed, especially because it has one of the most bad ass cast ever. The twist was a O.M.G moment so I strongly suggest you wait for after the credits to see this (those of you who have seen it will understand!)Overall I'm completely satisfied with this movie, it's pulled the fast and furious franchise out of the dirt and back into the fun, action-packed adventure that we all love. Take a bow the Fast and Furious crew you killed the hype and by far made the best movie this year so far. Don't miss out on such a exciting adventure and feel how ""fast and furious"" this film really is.",k-dhesi,2011-04-28,2011
92,8,"The stunts are pretty good, but the screenplay is not at all","How it possible that everything they needed would have just appeared or at hand right away? The cars, the weapons, the exact model of the super safe, the money, or even the beers they drank? The screenplay writers have no respect of the viewers least I.Q. and treated us like morons who only played and believed the scenarios of video games, the plots, the weaponry, the killings, the thefts and so on, everything just showed up whenever or wherever you wanted or needed. There were so many flaws in this poorly crafted screenplay, the plot was so ridiculous that you have to put your basic reasoning ability aside or into deep coma to allow those absolutely impossible handy stuff appeared on the screen one after another, and don't forget their playground was in Brazil? Get an exact model of the super safe right away? Need a fast car, go get it from a street race. Need several police cars to fool the police underground garage security camera? Go get from the police carpool yard. Need a warehouse to hide? No problem, you got it right away. Want to get into the police security system? That's easy, man, just clogging their toilets and without hiring by the police to call their plumbing service, you just walked in to fix it? Showing up, claiming you were FBI and left a box with a remote-control toy car for the Brazilian police to bring it into the safe/storage room without even checking? There were so many stupid conveniently-ready stuff in this brain-dead movie, but still, nothing could turn off the superior handling of the exciting street firefights and the car&safe chase and run-away scenes of this movie, and it was indeed fantastic!",rightwingisevil,2011-04-28,2011
99,7,Ranks up right up there with the first one!,"Wow although being a huge 'mark' for Dwayne Johnson when he portrays The Rock in the WWE i have to say his movies as of late have been nothing less then sucky. Well that all changed tonight due his newest flick Fast Five. Dwayne definitely has stick this action genre and he will be OK in my book. He's cool he's muscular and has all the bows and ribbons of a bonified action star. Pair him up with the likes of Vin Diesel another actor who needs to stick to the action genre and you have what is a little over 2hrs of sheer packed fun. Although not being overly impressed with parts 2-4 this one ranks right up with the original only lacking in car races. Now i said car races not chases and this flick is filled with em. Most of the original regular cast (minus the ones who have been killed off in previous chapters) show up for this instalment and a few from the other sequels such as Tyrese Gibson as Roman Pierce (2fast2 furious) and Tej played by Ludicrous another 2 fast memory of sequels gone past. After reuniting with Vince (played once again by Matt Schulze) who is now living in Rio with his love interest and his child. Its not long before the old team are back at it this time putting their heads together to pull off a which leads to be a 'Ocean's 11' worthy heist of the big political villain who pretty much runs Rio Dejeinero, Reyes (Joaquim de Almeida). Dwayne Johnson, like i said rounds off the cast playing the lead Marshall who has been hired to hunt down and arrest Dominic and his crew. Any fan of this series should really be happy with this latest instalment that really hasn't lost any of its staying power yet in my opinion in fact to the contrary its gained life. I could see them doing more of these.",thekyles99,2011-04-29,2011
165,10,great movie but missed the post credits,This was an excellent movie prolly the best of the series. Although i missed the post credit scene can anyone help me out and tell me what it was from what i hear it gives the movie a big twist!! new i shouldn't of left early but everyone in my group wanted to leave so i got stuck not seeing this scene. The scenes of the movie are very action packed the only problem is that they took away from the street racing and kinda went to the oceans eleven type feel with the bank heist and getting a team together to do a heist. Bring the rock into the movie prolly gave the series a boost. In the way the movie ends before the post credit scene it seems like there ready to make a 6th installment of the series,lazyboy101991,2011-04-29,2011
77,1,did NOT like this film,"I'm sorry but I can't agree with everyone here. This movie is the biggest disappointment I have had at the movies so far this year.

I would've left well before the end but I was warned to keep watching after the credits as there is a huge twist........... well what a supremely stupid twist that was!!! To me the appeal of this series was getting to see fast cars, fast women and the main protagonists doing cool stuff.

But now all we are getting is waaaay too much storyline, and guys doing ridiculous stuff.

I mean come on! how did Dom get out of those chains? The stunt of pulling that safe with the two cars was ludicrous to say the least, and we are supposed to believe that in a 10 second window they managed to get it to stop in order to pull a switch with an empty safe..... an empty safe mind you that still behaved as the full one had! We are also to believe that 'stop at nothing' Officer Dwayne actually joined forces with them for a while, and then after the bad guys were dead gave our heroes a 24 hour head start before recommencing the chase? And speaking of the Rock........ he just looks ridiculous, he appears to have two rolls of invisible carpet under his arms the whole time...... and all those muscles did him no good anyway as he got his ass kicked. Not that you could tell what was going on due to the poorly shot fight scene.

I understand suspension of disbelief and that a film like this is not supposed to win any Oscars so you should disengage your brain before watching, but IMHO this film was insulting crap that should never have been made, and as i said earlier, the twist at the end just capped it all off!!! They should have stopped at 3",mitchell7015,2011-04-29,2011
78,8,mindless but sure to please,"Diesel, Walker, and Brewster are on the run from the law and hightail it to Rio de Janeiro where they recruit some old friends to pull off one final job before they go their separate ways. But the group's daring plan quickly goes awry, they receive some unexpected family news, and they suddenly find themselves targeted by bloodhound federal agent Johnson—who never met a mark he couldn't collar. Preposterous plotting and cardboard villains abound, but made watchable by high-octane action scenes, effective casting, beautiful women, gratuitous fight scenes, great scenery, and everything else needed to pass for escapist entertainment. Overlong and incoherent, but fast enough, furious enough, and fun enough to satisfy the target audience. **½",Special-K88,2011-04-29,2011
154,8,Fast Five review by Featured Flicks,"***Don't miss the bonus scene after the credits***Fast Five is a heart pounding thrill ride that easily beats the previous four movies in the quarter mile! I really enjoyed this movie and was surprised to find that many critics agree. After seeing the movie I was really happy with the storyline, as it was more complex and thought out then the previous movies.There were many other things to love about this movie besides the story. The scenery in Brazil was magnificent. Aerial shots of Rio are always beautiful, what an awesome city!There were many stars from previous films, which made the on screen reunion more dynamic and enjoyable if you've seen the other films. Roman (Tyrese Gibson), Tej (Ludacris), and Han (Sung Kang) all make a reappearance and lend their expertise to grab a share of a cool $100 million.To top it off Fast Five has more action, explosions, gunfire, fist fights and car wrecks than you can imagine. This is a two-hour adrenaline ride that will exceed all of your expectations of what and action movie can be. I enjoyed Fast Five's action originality, geographic selection of Rio, and complete story. You will love this movie more than the others and will want to see it twice on the big screen!",brandon-37-250290,2011-04-29,2011
146,10,UNbelievable,"been a fan since day one, and never saw this coming. just thought it would roll along with the rest of them, and continue to be one of my favorite guilty-pleasure film series. boy was i wrong, dead wrong.fast five was incredible. from start to finish there isn't one dull moment in the movie and it's just -NOT- predictable what so ever. seeing a lot of the old cast members come together was great. they all feed off of each other so well.i loved fast five. i will not enjoy a movie this much for the rest of 2011.if i had a vagina, it would have been wet all day.",lakersfn26,2011-04-29,2011
41,6,the first 30 minutes gets a 10/10 then...,"I always get nervous when a movie trailer is a 10/10 in awesomeness...because nine times out of ten the movie doesn't live up to it. It's just sad because there are such little stupid things that could have been done differently to make this movie better.First of all...The acting is awful! I like Paul Walker a lot but how does he keep progressively getting worse as an actor? On top of that he's supposed to be growing up and becoming brothers/partners with Vin but the script has Paul fawning for his attention like a little girl.Remove Tyrese and Luda from the movie, get a REAL bad guy, improve upon Paul and Vins acting, Shorten the movie, more cars and less lame one - liners! I can't just blame the director or the actors for a bad script. Trying to write in actors to make the 2 biggest mistakes of the franchise make sense? NO! We just want to forget those movies and move on!This is basically what happens when a movie is rushed and put together poorly. I would have gladly waited till august to see this to give them a few more months to get things right. Oh well. This movie did really kick off the summer with those exciting action scenes though!",cmtg30,2011-04-29,2011
