,Rating,Title,Content,Author Name,Date,Year
9,10.0,my no1 film,This film made me. This has always been my favourite film probably because of the way they form the group it's iconic. The cast is just brilliant I can't imagine it was someone else and also the end seen my favourite thing. Danza Kuduro playing in the back chest it's amazing and I really feel like everyone should watch,miacoop,2021-01-11,2021
121,8.0,"If they failed on the 2nd, 3rd and 4th attempts, why not on the 5th attempt? And yes, they did it with praise !!","Of everything that involves this franchise (car racing / police investigation) and (besides the first film) that the sequences did not give a certain reason for existence that only made these films increasingly monotonous and uninteresting, ""Fast Five"" leaves aside what started this franchise with a more moving and frantic action movie, with characters even more fun to follow in their ""exploits"".",prietoheitor,2021-01-16,2021
44,10.0,Best action film,"Last week I saw Fast and Furious 5 / Fast five at the home. The main actors in this film are Paul Walker, Vin Diesel, and Dwayne Johnson... This film is an action thriller . This film is a story of two guys, Bryan who is an ex-policeman, and Dominic Torreto which is one of the best race drivers, and this hobby connects these two guys. These two guys have a plan how to steal 100 million dollars so they must do a really good team which will help them. But cop Hopps wants to catch them because Dominic and Bryan must be in prison for their actions. But in the end, he finds out they are not bad people and he helps them. The characters of Paul and Dominic are interesting because in the last films they weren't really good friends. But now they will be a true family and their adventures will be better . However, this film is really about friendship between all these characters. In my opinion, Fast and Furious films are one of the most popular in the world, so this film was fast-moving and gripping all the time. Special effects and stunts were so impresive. Like in all Fast and Furious films this has to some good music songs. I think is a ""tradition"" when these films have a good music.",imdb-58910,2021-02-07,2021
35,8.0,"Fast Five (2011, Justin Lin) The Fast franchise morphs into a large spectacular monster with this film","Fast Five (2011, Justin Lin) 'Fast Five' is named such because it is the 5th installment of the mega successful Fast & Furious franchise. If you take a look at billion dollar movies and take away comic book movies and James Cameron films about all that's left are Fast & Furious films along with some Disney/Pixar films which is impressive considering its rather humble roots, and you can easily point to this fifth installment where the series changed tactics and became something different, grander in scale and scope. The series always boated a wonderfully diverse cast, but this film gives the misfit street racer family an exotic locale to go with the super charged vehicles and it also assembles the core of what would be the team going forward. From the outset there was Vin Diesel's Dominic Toretto, Paul Walker's Brian O'Connor and Jordana Brewster's Mia Toretto. This cobbled together people who had appeared in other films including Ludacris, Tyrese Gibson and Sung Kang as fan favorite Han. Additionally they added the future Wonder Woman in Gal Gadot and Dwayne Johnson who collectively tripled the sex appeal of the film. To further ramp up the profile of the series instead of dealing with a simple street racer plot they started to vault into international intrigue on the scale of something that James Bond might handle. The crew inadvertently becomes their own version of an Impossible Mission Force. The show starts off with the crew on the run and Dom in prison. After a high profile escape featuring some pretty slick car work they wind up hiding in Rio de Janeiro which is a wonderful location for shooting due to the gritty yet colorful beauty of their urban sprawl capped by the ever watchful Christ the Redeemer statue and Sugarloaf. The crew not only runs afoul of the local drug kingpin, but also is being hunted by an elite CIA backed bounty squad headed by Johnson's Luke Hobbs. He starts as an attack dog, but by the climax he becomes an ally and would go on to be a legit team member in future installments. There are stories that behind the scenes Diesel and Johnson are often at odds for control over the series. While evading Hobbs the team goes to war against this drug lord that winds up being capped by a ridiculous but adrenaline charged chase scene that becomes an instant classic. It involves two Dodge Chargers pulling a bank vault through the streets of Rio using it as a weapon. This film is incredibly fun. It consistently reinforces the family theme which comes to be a hallmark for these films. There is not as much racing in this film as they skew away from that deliberately and turn toward more action based set pieces that happen to involve vehicles. As the installments move into the future those action set pieces get more and more eye popping and outlandish so back in 2011 the 'Fast Five' ones are relatively tame considering where they have gone. The direction is frenetic and gorgeous thanks to Justin Lin. The script is well written with good action, tension and humor. The action surely boils over into outlandish territory, but they embrace it so thoroughly that it only adds to the enjoyment of the overall endeavor. The wonderful location, amazing array of actors, slick script and elevated action plot really serve to make 'Fast Five' the pivotal film of this series and a paradigm shift that would serve to launch this film franchise into the stratosphere. Eric's Grade: B+",hoernkeem,2021-02-17,2021
97,2.0,OK the same story but a bit stretched,"Not liking the franchise so far, becoming very repetitive.",TheNonSmoker,2021-03-19,2021
19,7.0,Furious 5,"Vin diesel and paul walker are really good in this making this really entertaining and fun to watch.Insane stunts, chases, and fights. This starts the entertainingly craziness of this movie franchise.",MB-reviewer185,2021-04-24,2021
123,4.0,Not good,"It focuses on the characters way too much, and doesn't have enough high action car chases, that's what I want from a fast and furious movie.The plot line of Brian and Mia about to have a child is totally unnecessary, and it feels like a rushed production.",asherrbh_15,2021-05-06,2021
74,9.0,Very fast very cool,"Fast Five is a very cool movie. It is very different from the first parts. Excellence in watching very serious action and great photography. The debut of the great actor Dwayne Johnson, Justin Lynn, Wonderful Director. And I thank the crew. Although the film lacks a bit of clarification, it is still a great movie. I loved it and that is why I give it 9/10.",tamerhaddou-70008,2021-05-23,2021
42,5.0,Finally broke down and watched one of these things,"I never had any interest in the Fast and the Furious movies, which I'd never even heard of until it became the nickname for a political scandal. It sounded like something with a bunch of people racing cars and maybe committing or solving crimes or something. I don't care about speedy cars, I'm not into racing videogames, I'm definitely not the target audience.Recently I saw a trailer for a new one though, and I thought, this looks kind of fun. But since that movie got bad reviews I decided I would learn which was the best in the series and watch that.The movie was pretty much what I expected, cars and guns and muscly guys. It's stupid from the first brief action scene, which should have killed about 30 people but somehow doesn't. Then there's some unlikely plot, a bunch of driving and shooting, predictable twists, more shooting, a bunch of running.As action movies go, this seems vastly familiar to both the martial arts films of stars like Jet Li and Jackie Chan and the special effects driven superhero genre, and I don't get the appeal at all. But listen, it's not trying to entertain me, it's trying to entertain cars & muscly guys freaks, and if this sounds like something you'd like you'll probably like it.",cherold,2021-05-25,2021
5,7.0,Can We Get Any Faster!,"This was insane, what a watch that truly was, i have to admit they have been going totally off script when it comes to these movies considering this is a street racing movie basically turned into some James Bond type heist. I do like this addition though, never been a fan of The Rock and im still not but it was easy to ignore his scenes.Perfect cast, perfect Movie, can we go faster? Highly recommend!",BrnzReviews,2021-05-25,2021
