,Rating,Title,Content,Author Name,Date,Year
243,10,You Love Cars? Fun? Action?? You have to SEE this movie!!,"After watching the trailer you go to the cinema with some ideas or fears of silly fun. Not at all! This movie is a really really enjoyable fun packed in a superb dose of action. Maybe 10 is a very high note, but thinking on the kind of movie we decide to see, is what it deserves. The movie have a lot of jokes that really work well with the plot. It's hard to get that combination (plot-jokes) work properly but this is one of that rare cases. About the action, the scenes looks very natural maybe some annoying close ups but overall very good job with chasing scenes. Funny, nice twists, nice action scenes, by far the best of the whole series. People was laughing, wowing and clapping. You love cars, action and fun? then you have to see it and enjoy it asap. Is by far the most entertained movie released this year.",illmor-814-204784,2013-05-23,2013
127,8,Just when we thought that it couldn't get bigger,"""The Rock"" is not the only one who got bigger. The whole movie goes to a massive level never before seen in the franchise. The creators of this franchise must ask themselves with each movie: How do we make this bigger? Because is getting ridiculous how massive are the racing scenes on Furious 6 (yes, that's the title showed in the intro). Well, there are not exactly racing scenes on this one (safe for one), it their place the writer puts a lot of car chasing scenes. There are so much persecution scenes on this movie that every character suffers at least one big accident in which, of course, none of them gets hurt. Everyone survives accidents that could finish with all the nine lives of a cat, without a single scratch. Between that and sort scene on a bridge involving certain characters flying on the air, the phrase ""Oh common!"" is useless in this one. That said, it is clear that we are not talking about an Academy Award Winner movie. We are talking about the Die Hard of racing cars. All the car sequences are great, full with action and emotion. Every single fan is going to be pleased at the end of the film. The story is very simple. There is a bad guy. Letty is working with him. The crew must bring Letty back home. The truth is that it works. The focus point of the film is to discover how she survives and why she didn't came back home. At least I can say that they came up with a good explanation of how that happens. But it must be clear that everything here has been made to please the fans. In other words, there are some decisions made in this film that if you think about it you will probably be disappointed. So is better if you just enjoy the ride and don't think about it too much. The theme is the family. That's actually how (finally) the cast is feeling. On Fast Five there are characters knowing each other, but in this one everybody knows everybody. So they're one big family in the film and it is perceive as if they have become one big family outside the set. Even Hobbs feels like part of the family, even being a cop. The new guy is the villain, Sebastian Shaw (Luke Evans). He did a fine job and maybe that's because he is a good actor or because at last we have a bad guy who isn't a drug dealer. Shaw is more like a terrorist, so he is more memorable than the others. Universal Pictures has confirmed the seventh film for July 2014 release date. That means that, even when we got a close ending, if you stay 10 more seconds you will witness an extra scene. In that scene we close one character gap (sadly but at last), and we're introduced the new bad guy. And he makes an impression on both, ladies and men. With that scene the producers make a statement: Fast & Furious 7 will be bigger than this.",damh_frikinlater,2013-05-23,2013
137,8,A spectacular action fest with emotional depth,"Get the wheels rolling and adrenaline pumping,Fast and Furious returns and the stakes are higher than ever.There is a new enemy named Shaw and he has gathered a formidable crew who are up to no good.They have already wrecked havoc in Moscow and now set their sights on a device that can cause a military catastrophe.When the going gets tough you need the tough to get you going.Who else to counter such an enemy than our very own fast and furious team.A top police officer Luke Hobbs(Dwayne Johnson) approaches Dominic(Vin Diesel) to seek help.Dominic has retired and would normally deny but there is a twist.Letty(Michelle Rodrigues),Dominic's girlfriend who is believed to be dead has been spotted.Dominic agrees and recalls his team.What follows is a face off between the two teams.I am not a fan of mindless action movies.Fortunately this is n't one.This is a very interesting plot with lots of emotional quotient in the movie and the concept of togetherness,camaraderie and standing up for family is touched frequently.In fact more so here than any of the previous movies which was something i enjoyed.The wisecracks are awesome and the dialog in general brilliant.Dwayne Johnson is becoming a better actor and the tough cop role suits him .Vin Diesel and Paul Walker were amazing.For me Michelle Rodrigues as Letty walks away with the crown.Tough,Sexy and conflicted,she delivers a great performance.The rest of the cast does well too.Always good to see the banter between Roman(Tyrese Gibson) and Tej(Ludicrous).The score keeps you interested.The action is just superb.I wont give anything away but the kind of stuff the team pulls off will blow your mind.Overall Fast and Furious Six is a fiery action ride but is a movie with an emotional soul to it!",vishalsmail33,2013-05-23,2013
199,8,Best Fast ever made.,"This was certainly best movie in Fast And The Furious series. Best in all 6 movies. Like always movie goes on series of events, whose solution could only be fast cars and action. Laws of physics do not apply to Fast Movies, because following laws of physics is something Hollywood has given responsibility to Christopher Nolan. So trailers made me to go watch this movie on first day and it was certainly the best idea. It was more fun that any of fast movie. Great mix of comedy, action, romance too. An extraordinary villain was present here, who was undoubtedly best among all the villains we have seen before in this series. Making money and steeling was not the focus, but something else was at the stake. So watching criminals work with the police, this was just amazing. Dwayne Johnson, The Rock again rocks the action scenes with his never ending style. Best Fast movie ever Made.",amitsingh2783,2013-05-23,2013
43,7,"Simple, kinda solid and a hole lot of crazy action... Needs more Diesel!","My first thought of all this was, when I came outside of the movie theater: ""Man it totally dig this movie. I can't even really explain out why but I guess I could try""

Good sides : Rock + Diesel = Win Rock + Diesel + working together = Epic Win All crew together + Michelle = Definitely win Tank in fast lane + Cars hanging from airplane like Christmas tree ornaments = Priceless Over the top action - you know what I am talking about =D But it's in the right place at least here at this film. So much action sequences made air so concentrated with testosterone you could actually hang hatchet in thin airspace.'No metaphor here' Car chase sections = extremely well made. It's so nice to see on screen some nicely filmed scenes than relaying heavily on CG(Yeah they use CG too I know I know).

Bad sides: Story - you know they are 'like living like kings, but something is missing, so we should put our lives on line'. Okay it's not this film's biggest flaw. ""Huge spoiler starts"" Silliness - Luke Evan tells them to release him and give him the chip because he has Jordana hostage and they actually do it and like 5 minutes later they are trying to arrest him. Yeah I know I'm not telling everything I felt like that was the ""facepalmness"" moment in whole film. Amnesia - well I actually was hoping for the most part of film that 'she' was faking it but even if she would it wouldn't make much sense.

Neutral(I'm not sure if it's bad or good) - 'The true end' with Statham and Han's death. It's nice to know there's going to next movie but if that was the best way? ""Huge spoiler ends""

Conclusion: All in all a great fast popcorn-flicky film. Really feel that tank chase should have been longer and film itself should have been longer in order to explain some things a little bit better. + Some extra funny moments Franchise is doing great I feel that one of following 7,8,9 part will be so great that I will sleep with it's DVD under my pillow and just next to my teddy bear.",notaufo,2013-05-23,2013
235,10,..aw sum movie.. just like old times...,"an excellent movie having great fun action & little bit romance..the sixth gear actually builds up the franchise into one of the best movie franchise of all times....""...a superior piece of classical action craftsmanship... Lin and veteran screenwriter Chris Morgan have labored to add depth, dimensionality and inner conflict...""""Remember the second you go through those doors,"" says Vin Diesel's Dom Toretto. ""Everything changes."" Now that's wishful thinking. The Fast And The Furious films have never strayed too far from the formula, just doing enough tinkering under the hood to keep the franchise purring.This time the gang decamp to London after Hobbs (Dwayne Johnson) – the dogged DSS agent who pursued them through Rio last time out – comes asking for help.Wisely, he wants to use the street-smarts of Dom, Brian (Paul Walker) and the rest for a their crew for a particularly dangerous mission. The target? A gang of pro hijackers led by ex-Special Ops soldier Owen Shaw (Luke Evans, excellent). The reward? Full pardons for Dom and his crew. The bait? That Dom's ex Letty (Michelle Rodriguez) – thought dead after a car accident in the fourth film – is alive and working with Shaw.",darkknightrises45,2013-05-23,2013
27,10,Thrill ride par excellence,"For motor-heads, the Fast and Furious franchise is pure sin, the sins getting bigger and badder with every sequel. But the franchise is more than just car flicks. They have established an instant connection with today's youth culture gorged in hip hop, street cred and video game violence, spanning continents. While many thought that the previous installment Fast Five was the very pinnacle the series could aim for, out comes Fast and Furious 6, breaking all previous boundaries, and shattering myths that a 6th installment cannot be creative, and is one too many. Before we talk of the movie though, let us take a moment to absorb the legend of the sullen hero- Vin Diesel.

""If you rearrange the letters in Vin Diesel it reveals his credo: ""I End Lives.""

""Vin Diesel invented black. In fact, he invented the entire spectrum of visible light. Except pink. Tom Cruise invented pink.""

""The eternal conundrum ""what happens when an unstoppable force meets an immovable object"" was finally solved when Vin Diesel punched himself in the face.""

Part espionage thriller, and part testosterone fueled race track, the movie starts off in first gear though, with the gang dissipated across the world spending their 100 million heist that they had carried out in Fast Five in their own ways, though a mountain road race between Diesel and Walker portends of things to come. Things shift gears once federal agent Hobbs (The Rock) enlists the help of the Furious gang to bring down a terrorist (Luke Evans) who has skills to match the Furious. An old member of the gang previously presumed dead returns too. The motivations matter little, what matters is that they are loud, ooh-aha inducing and, with the addition of MMA fighter Gina Carano, extremely brutal. And if you thought that the highway mayhem with the tank that is featured in the trailer was the maximum director Justin Lin was attempting, you are so very wrong. He has in store a shattering climax which involves the Furious gang battling the villains in a cargo plane the size of an island, with a dozen supercharged sports cars with harpoons trying to stop it from taking off. What is customary though is the ball of fire in the end, and Diesel walking out of it, unscathed, smiling. Some more homage to the man, then-

""When Vin Diesel goes to donate blood, he declines the syringe, and instead requests a handgun and a bucket.""

""Vin Diesel played Russian Roulette with a fully loaded gun and won.""

""In an average living room there are 1,242 objects Vin Diesel could use to kill you, including the room itself.""

Director Justin Lin has conjured up a movie that makes you forget all other F and F ones. Never mind that there is a plot to boot, most of the films budget and time is aptly dedicated to high speed dueling, massive explosions, inspired stunt-work and creative property damage. The actors don't have too much to act about, but you would expect this to be a Diesel, Rock or a Paul Walker movie. But no, it is an out and out Romano (Tyrese Gibson) movie. Every Romano moment is a LOL moment, and he more than makes up for the forced seriousness of the other cast members. Luke Evans as the villain is a bad choice though- he has absolutely no personality in front of these towering hunks, but he does seem to have x-ray vision when he points at Diesel and says ""Look at his face. He is so angry""- meanwhile Diesel remains as impassive as ever. Can't have enough of him?

""The word ""lesbian"" derives from an old Latin phrase that roughly translates as ""She who has not yet been introduced to Vin Diesel.""

""There is no theory of evolution, just a list of creatures Vin Diesel allows to live.""

""Vin Diesel once ate the entire cake at a bachelor party before anyone could tell him there was a stripper in it.""

Love cars or hate cars, critics and reviews be damned, just go and watch Fast and Furious 6, popcorn in hand. This is a shamelessly entertaining, guffaw inducing, and awe-inspiring thrill ride. Wait till the end though, and we are introduced to what will come in part 7. Perhaps the only real competition in Hollywood to Diesel's racing skills. Any guesses? Or you would rather like to be transported somewhere�.10/10",achyutaghosh,2013-05-23,2013
61,7,"Just for entertainment, nothing more","There is nothing I could say about ""Fast and Furious 6"" besides a fun movie with dumb storyline. I must admit that the action scenes in this movie is bigger and cooler than other previous series but in storyline, ""Fast Five"" is much better. ""Furious Six"" undeniably has more action sequences, car crashing and bigger explosions which is fun to see in the summer season. It's what all ""Fast and Furious"" fans expected to be. Besides that massive action stuff, there's nothing left you could expect from this movie. The quality of storyline is so bad and dumb that makes this movie goes nowhere and no different from their previous franchise. The more you think, the more you feel silly about this movie. For example, the scenes when Brian pretending goes to jail for searching information about Letty that even their team and Toretto himself had already known about it before Brian told them, so what does he go to jail for? The cast in ""Furious Six"" are also flat and standard. As Indonesian people, I'm really proud of Joe Taslim for his first Hollywood movie debut. I know that he doesn't speak much but it's just enjoyable to see him fighting and taking quite important role. Overall, ""Furious Six"" is kind of good movie to see this summer and one of the great one from the series. But if you're searching for a good quality movie with strong storyline, it's not that kind of movie.",aldri-feb,2013-05-23,2013
318,10,one word to this movie WOW,"The last one was good, because a lot of action at the rest of the plot, but this one connected all the lost cable that bring us the 3 movie (Tokyo drift). Is sad to see how they traded one for one, I mean the lost of the girl in the last part, but that was necessary, but the ending of this movie is going to make another epic fast and furious. I like how the director make this movie, a lot of action, a little of drama, a little of sad part, even race like the old times in the first movie. Something that i did not saw was Tego Calderon and Don Omar. But Vin Diesel told that in the next movie will be in Puerto Rico( or almost some part of it) so the next one will be a revenge, plus a add to the family of toreto, the protagonist of the Tokyo drift. Is logical he is going to revenge his friend Hank. So if you are reading this go see the movie, and prepare to be 2 hours of action and in the last minute of the movie don't go , sit and watch the last part.",hatachiclaud,2013-05-23,2013
18,6,Quirky humor and insane set pieces overcome its shoddy plot,"While it doesn't reach the same height as Fast Five, the newest and most ludicrous installment of the franchise thus far still packs a lot of noisy high octane entertainment in its engine. With increasingly expanding star-studded cast, Fast & Furious 6 exhibits a lot of value by just pinning these familiar names together in scenes, despite some of the script they use doesn't really work. It has good amount of humor, and also highly dubious amnesia plot. Quite frankly, it does its best when it doesn't try to be serious.Starring buff gents and ladies, almost everyone on-screen has weighty name, although they are heavily leaning towards action oriented rather than acting, which might've been the direction from the start. Plot revolves around Vin Diesel trying to woe the amnesic Michelle Rodriguez, thus involving the crew into a shady military operation in the process. It gives what people want in spade, the bridging between set pieces is fairly clumsy, but it does pay off with ridiculous amount of flying cars and bodies.Surprisingly enough, there are plenty of melee brawl across the movie. The addition of Gina Carano, the MMA star, is a good choice, she brings the rawness in these scenes. Several others will join the fray in close combat, obvious if they have The Rock and Vin Diesel it'd be a waste not to. However, there are some stunts that borderline corny and unrealistic, even by Fast and Furious standard, many wiring might look awkward as well. It's not a major concern, but I prefer the more structured natural stunts rather the high flying ones.Chasing scenes have been up-scaled, bringing ramp cars, tank and whatnot into the mix. Apparently, there's demand for even more over-the-top driving scenes to fulfill. This is where it truly shines, fast motion, carnage all around and seemingly impossible traits. The building up and finish are somewhat imbalance, sometimes resorting to incredibly odd coincidences. Script works adequately, some of its jokes are better than others, and definitely league ahead compare to the supposedly more dramatic scenes.Fast & Furious goes extra miles for crowd enjoyment. Action junkies or car enthusiast will be pleased, however the result is less organized pace. The movie is a blast, even if there are shortcomings, catering directly to the core audience.Rate 6.5",quincytheodore,2013-05-23,2013
