Rating,Title,Content,Author Name,Date,Year,Sentiment Overall,Negative Score,Neutral Score,Positive Score,Overall Percentage Score
7.0,Great action and illogic make this a good B movie,"The Fast and the Furious star the always good Vin Diesel as a car racer- on the streets.  He meets Brian (Paul Walker) in a good stoke of luck as he saves him from the cops.  Then some more plot comes in into the film, but it the action that counts here.Giving credit where credit is due, the film has outstanding action sequences involving car chases that haven't been this exhilarating since the infamous pod race in Phantom Menace.  Plus (and surprisingly), the film envelops you into the story, and it makes you feel some actual feeling for the characters among the blaze of the cars.  And for that I reccomend this movie for the thrill seeking audience that has chomped up the recent popcorn flicks such as Mummy 2, Tomb Raider and Swordfish (Fast and Furious is one of the best ones of it's kind so far this year).However, with most B flicks come the inevitable flaws, and this has 2 usual yet still dumb ones.  1, from the looks at some of the steamy and violent scenes in the movie, it looks like as if director Cohen was making a rated R movie filled with even more action, sexual content and dare I say naughty language in the mix.  Yet, once again, it might seem, the guys up top have made this film into yet another PG-13 flick to try and up the sales.  That's why say what you will about the South Park movie, but at least they kept on trying at it until they got the R (and that is also evident from the s**t episode from 2 days ago) unlike such movies as Bring It On and Coyote Ugly.And 2 (illogical part), this film takes place in Los Angeles, a city that is sometimes called the city on wheels.  Then how come when the race in the streets scenes come up, you almost see no cars whatsoever on the streets (unless it's used for the plot or something)?  I have a feeling that even though this doesn't have much logic in it, at least it's better here than in New York, cause then it would be just plain ludicrous.  Anyway, like I said, It's a good action movie, though not a great one.  Kudos go to the director, stunt co-ordinators, drivers and Diesel.  B+",Quinoa1984,2001-06-22,2001,Positive,0.069,0.793,0.138,0.9828
6.0,Good fun action movie,"I particularly like sport imports, so I had to see this movie.  The action sequences I felt were shot very well.  The story, is basically Point Break with Street racing vs. Surfing.  Cop poses as street racer, attempts to gain confidence of a Race Team, who happens to hijack big rigs with electronics equipment to fund their adrenaline rush, street racing.Some of the camera work and angle shots for the crashes are great. 
Although some may feel there was not much substance, at least you do get character feel, unlike what you could say of the other summer action movies so far this year.Worth a matinee visit, and if you like street imports, you'll probably want to own the DVD when it comes out.",kraziken,2001-06-22,2001,Positive,0.0,0.855,0.145,0.9571
7.0,"It's Fast, It's Furious, and It's Freakin' Awesome!","The Fast and the Furious is one hell of a ride! Paul Walker and Vin Diesel do a great job in this film that's packed with action and great car racing! To keep this comment simple, I'll just say that if you're into fast action films like Gone in 60 Seconds, then this is a film for you!",Justin Harris,2001-06-22,2001,Positive,0.114,0.727,0.159,0.5067
9.0,An adrenaline rush,"The Fast and the Furious is fast, furious, and FUN.  Make no mistake:  this is no movie to take your grandmother to, unless of course she already happens to know what nitrous oxide is.  This movie has no shame and no let up in its goal of thoroughly entertaining its audience - my heart was racing the whole time.",sstaten,2001-06-22,2001,Positive,0.152,0.643,0.206,0.6388
9.0,TRU,"I saw this movie on the opening night which was an experience itself. Every wanna-be street racer in Jacksonville who has more money than sense was out front of the theater showing how loud they could rev their engines. Cool. This really is an excellent film about street racers. Incredible racing scenes, an involving plot, but best of all, more gorgeous cars than you can shake a Civic at.  You probably do need some knowledge of cars before you go see this movie, to get the full effect. 9/10 on my scale.",dfashe,2001-06-22,2001,Positive,0.02,0.829,0.151,0.9415
8.0,"Good movie, but has several unsolved mysteries","I must say that this movie was good but several things were left unsaid. For those who have seen the movie know what I am talking about but for those who haven't, I don't want to give spoilers. I was also impressed by Vin Diesel's acting skills. Overall I have to say it was a good movie filled with several twists and turns.",kippardue_luvr21,2001-06-22,2001,Positive,0.0,0.84,0.16,0.8806
10.0,"Something has happened here, something very rare.","Something has happened here in The Fast and the Furious. Something that I have not seen for a very long time. What is it? An awesome, entertaining ""movie"". I think we need to take a moment here to look at what is going on here. Most critics are always looking for a masterpiece, or an epic. Movies like Gladiator, which are amazing, but not all movies have to be like this. This movie is meant for sheer entertainment, that is all. If you smile, get into the story a little, think the action kicks ass, and have an all around great fun time, then I think it's a good movie. That's what has happened here. I went to see this movie knowing its a hated piece of work. I mean, look at its raiting on IMDB-4.5/10. That's pretty bad. I think this is a movie that most people won't like. There is a certain crowd that will, and if you like the movie, you're in that crowd. Let me give you a list of the best parts of the movie:Vin Diesel: He is like Arnold for the Millenium. He ROCKS!!!The hot chicks: They are all over this movie, we even get a little girl on girl kissing!The cars: I'm sitting in the theater drooling over the amazing race cars in this movie.The action: It's intense, and NON-STOP.So, do you like those things I just listed? Well then, The Fast and the Furious is a movie you HAVE to see.Let me say it again: The Fast and the Furious is something I haven't seen for a long time. It's pure entertainment. And for that reason, I give The Fast and the Furious a 10/10.",Nick E A,2001-06-22,2001,Positive,0.104,0.697,0.199,0.9858
10.0,Worth The Ticket Price,"The Fast And The Furious is a thrill ride from beginning to end.  The heart pounding action made me squirm in my chair.  The cleverly filmed racing sequence was amazing and from that point on my eyes were glued to the screen.  Although the plotline isn't very original they carried it well. Vin Diesel, who played the roll of the street racing leader, gave a strong performance and you could really feel for each character.  I even started feeling sorry for the evil Japanese gang leader.The semi-jacking scenes were awesome.  They totally freaked me out... in a cool way though.  I didn't know what to expect.  Paul Walker's acting was pretty Keanu-ish.  He was a total surfer boy throughout the whole movie. The make-up people were trying way too hard to make him look rugged and normal.  It was pretty hard for me to believe HE was a cop. He's way too boyish and cute for the part.  But, I have to admit, those looks of his were one of the reasons I wanted to see the movie. In the end it came together really well. I suggest that you don't wait for this one to come out on video because you will be missing so much.  With the surround sound of the theater, the engines mixed with the soundtrack and the plot work great together.  I went in expecting a B+ and i got blown away by an A+++++++ movie.",ttjam,2001-06-22,2001,Positive,0.055,0.808,0.137,0.9645
7.932203389830510,THE FAST AND...,"...POINT BREAK IN HONDA CIVICSthe real sexual tension is obviously b/t Walker & Diesel...not that anything is wrong with that.  and to be honest, it would make the story a lot more interesting. on top of that, my real problem is; how slooooooowwwwww are these cars that it takes them well over a   minute to reach that quarter mile?",jdavis-4,2001-06-22,2001,Positive,0.115,0.722,0.164,0.352
7.0,a very good movie,"I think this is a very great movie, it gives you a rush and the cars are awesome.....VERY excellent.An ok love part but the story line is incredible and the races are magnificentI very much recommend it to you",dcTalker,2001-06-23,2001,Positive,0.0,0.768,0.232,0.8613
