Index,Rating,Title,Content,Author Name,Date,Year,Negative Score,Neutral Score,Positive Score,Overall Percentage Score,Overall Sentiment
128,10.0,Adrenaline Rush - Fast & Furious: Tokyo Drift is a solid good third entry action flick!,"The Fast and the Furious: Tokyo Drift (2006) in my opinion I think is a solid good action sequel, a very bashed and hated in the series. Which I don't think this movie is bad, I think is a much better movie than Furious 7. I always loved this movie, I think it is a good movie, but in the series is not the worst one, but is far from worst one that would be Furious 7. I think it was a different solid, good sequel in the series and I love it for an action film. The Fast and the Furious: Tokyo Drift is a fun movie to watch: it accomplishes what it set out to do and that's provide the most realistic yet gravity-defying racing sequences, backed with the eye-catching background of the electrifying, neon Tokyo. Plot-wise it suffers a bit and the acting isn't top-notch, otherwise the loud music, import cars, cityscape Tokyo, and Japanese pop culture more than make up for the flaws of the film that you'll watch it again and again.Plot: When convicted street racer Sean Boswell (Lucas Black) tries to start a new life on the other side of the world, his obsession with racing sets him on a collision course with the Japanese underworld. To survive, he will have to master drifting—a new style of racing where tricked-out cars slide through hairpin turns, defying gravity and death for the ultimate road rush.This movie is more the highest-octane installment of the hit movie franchise built for speed! There are more mind-blowing stunts and heart-pounding racing sequences than ever, The Fast and the Furious: Tokyo Drift will put you in the driver's seat. ""Strap yourself in for a blistering, super-charged ride.""-- Pete Hammond, Maxim"" The CGI I am sorry but in one way it is terrible which I really did not like when Sean (Lucas Black) and Neela (Nathalie Kelley) are slide down with the car during the car chase and they cross over the crowd of people without hitting anyone, you can see the camera, that it is made with a CGI that is the only main problem I have with the film, the rest was okay. This is a very simple film, not a big confusing plot and again this films, you know 5,6 and 7 the plots are still pretty simplistic.5 was a heist movie, 6 was this guy the evil version of you, we want him to bring him down simple.7 you killed this guy's brother, he is looking for revenge and he also try's to kill you so you get this, simple movie not complicate at all. That is one thing that this movies get right constantly.The racing in this movie: I think they did a better job than in 2, because I didn't noticed more of a CGI, because that's how they just do it now, a lot of wide shot you can tell there was a lot of practical stunt drive, it look good which I enjoyed that. I know a lot of people will put this movie lover down and I think it is a solid movie and a solid flick. This is the first time Brian Tyler made the score and this is also the first one that Justin Lin directed, he went later directing three next movies 4,5 and 6 which I love to death. I thought the direction is good, I like the resolves on the end of the movie, the sound track is good, I did not mind the cast you know. Lucas Black is the lead in this movie. Sonny Chiba is in this movie I always like the actor. This was Sung Kang's first introduction of his character Han who later appeared in 4 as a cameo, than in 5 and 6 as regular cast. Vin Diesel did returned with his character Dominic Toretto, who made a cameo scene on the end of the movie, which I thought was pretty cool. Bow Wow I didn't mind him in this movie and Nathalie Kelley was extremely hot and I really though she was much better sexy babe, than Eva Mendes was in 2 Fast 2 Furious. Nathalie Kelley lights up the screen as Neela and I would welcome her return to the series any time.Overall: Tokyo Drift gets a solid 8 by me it does lacks on the great characters and the cast of the first two movies in the series, but is redeemed by Han, awesome car scenes and a pounding score from Brian Tyler. I have enjoyed this movie and I think it is a solid action movie, I love this film and it is a step above than 2 Fast 2 Furious by me.The Fast and the Furious: Tokyo Drift is a 2006 American action film directed by Justin Lin, produced by Neal H. Moritz and written by Chris Morgan. It takes place between the events of sixth and seventh films. The film stars Lucas Black, Bow Wow, Nathalie Kelley, Brian Tee and Sung Kang.8/10 Score: A- Studio: Universal Pictures Starring: Lucas Black, Bow Wow, Sung Kang, Nathalie Kelley, Brian Tee, Leonardo Nam, Brian Goodman, Zachery Ty Bryan, Nikki Griffin, Sonny Chiba and Vin Diesel Director: Justin Lin Producer: Neal H. Moritz Screenplay: Chris Morgan Rated: PG-13 Running Time: 1 Hr. 44 Mins. Budget: $85.000.000 Box Office: $158,468,292",ivo-cobra8,2016-01-23,2016,0.095,0.761,0.144,0.993,Positive
129,3.0,Bad,"In this week (Sunday 20th - Sunday 27th) I will watch all Fast and Furious movies. One per day. The first one was pretty good. The second was disappointing. The third was more disappointing… ‘Fast and furious: Tokyo Drift’ is just a bad excuse to watch racing games. The first Fast and furious had a good story. It was better in many different ways. It was packed with lot of action and well played characters. If you want to watch a good and exciting movie, then don't watch this. The story is bad, the acting in the movie was bad. To put it mildly: Do not watch this movie! PS. Sorry for my English! :)",tullemis,2016-03-23,2016,0.173,0.637,0.19,-0.3786,Negative
130,4.0,Catch my drift,"Despite featuring none of the stars (but for a surprise cameo at the end) from the original films, this third instalment and its modest box office success convinced Universal Pictures that there was mileage in the Fast and Furious series.Director Justin Lin re-tooled the franchise, introduced the elements and a kinetic style that would carry on when Paul Walker and Vin Diesel return for the fourth part.Tokyo Drift has the southern drawl of Lucas Black who plays Sean Boswell a troublesome teenager regularly in trouble with the police. A disastrous drag race against a rich kid is too much for his mother who sends him to Tokyo to live with his father and attend high school there even though he does not speak a word of Japanese he apparently goes to a regular school rather than some international one.Before long Sean flirts with the girlfriend of DK (the drift king) who is the nephew of the Yakuza kingpin and falls in with the underground racing scene that features the skill of drifting.Sean starts to work for the mysterious hustler Han (Sung Kang) who teaches him how to drift and he ends up challenging DK for top dog status after a tragic accident.Although largely set in Japan the film still manages to have a multi ethnic cast and an urban soundtrack that the films have become noted for. However the story is thin, there are no outlandish heists or preposterous plotting. Lucas Black is just too blank as the lead and it is no surprise that the enigmatic Sung Kang was the more intriguing actor hence why he featured in the subsequent films.Do note that a crash scene was later retconned in the closing credits of Fast & Furious 6.The film has its flaws but it is also an important chapter in the creative team of Lin and Morgan. They would continue with the Fast & Furious films, bring back the original stars and makes this into one of the most profitable modern franchises around.",Prismark10,2016-07-07,2016,0.109,0.779,0.112,-0.4822,Negative
131,4.0,Pointless instalment in the series,"TOKYO DRIFT is the unwanted second sequel in a film franchise that seems to have absolutely zero point in existing – unless it's to get teenage boys to part with their pocket money. Each film is a stultifying excuse for flashy cars to be raced around and wrecked while attractive women in little clothing look on and cheer or boo as required. The first movie saw Vin Diesel playing a bone-headed racer in one of his worst performances; the sequel kicked him away and left wooden leading man Paul Walker to make a mess of his duties. This film does away with them both in favour of Lucas Black, a guy who I used to like when he was a child actor in '90s TV series American Gothic.Nowadays Black is all grown up and as typically handsome-but-wooden as any other actor. He seems to have lost his charisma but then all the cast of this film live in a charisma-free zone. The light story sees him packed off to Japan to curb his racing tendencies, but inevitably he runs foul of a Yakuza gang when he starts racing again. It's same old, same old, with stock supporting characters and an uninteresting cast – aside from a cameoing Sonny Chiba, still proving his worth in a fun role as a mob boss.These films are all about the races and these ones are pretty predictable. There are some interesting crashes and a few stunts here and there, but my heart wasn't really in any of them. I could enjoy the explosive chases in a film like DEATH RACE but I couldn't stop yawning as I watched the races here. They're serviceable perhaps but they're not going to set anybody's world alight. Then the film ends with a laughable twist that sets things up for yet another needless sequel. When are these guys going to give up?",Leofwine_draca,2016-07-10,2016,0.039,0.831,0.13,0.9834,Positive
132,4.0,The dude looks 40,"If you are looking for some backup noise while you do some housework this is great for that. Other than that it's really bad. The main character is so irritating and awful, every scene he was in I couldn't help but think This dude looks 40, what the hell is he doing in a high school? He suppose to be someone who don't really care about school only cars, yet he learns perfect Japanese in a few weeks. And this is just one annoying thing, the story has so many plot holes , I stopped counting. Why is he sent to Japan in the first place, who sends criminals to live in a foreign country as a punishment? If his father is in military why don't they live in the military base? And why does the Yakusa have any interest in high school drifting? And so on.... Its just bad, yet somehow better than the first sequence because that was even worse.",nyiri-timea,2016-08-20,2016,0.214,0.711,0.075,-0.9825,Negative
133,4.0,The Fast and the Furious: Tokyo Drift Review,"The Fast and Furious: Tokyo Drift(2006) Starring: Lucas Black, Shad Moss, Nathalie Kelley, Brian Tee, Suang Kang, Brian Goodman, Sonny Chiba, Leonardo Nam, Jason Tobin, Keiko Kitagawa, Alden Villaverde, Koji Kataoka, Kevin Ryan, Lynda Boyd, and Vin Disel Directed By: Justin Lin Review On the streets of Tokyo, speed needs no translation... You know I was never big fan of the whole Fast & Furious franchise until I saw five then they made six which I did not see, and seven which I will see even though I said I wasn't going too, because I love watching films no matter what and I want to respect Paul Walker. But Fast Five will always remain as one of my favorite films of all time and my second favorite high powered car film, my first is Speed Racer. This third entry from the series is when people became curious of the franchise, it revolves around a guy who gets kicked out of America for street racing and moves in with his dad in Tokyo. When he gets there he meets a group of people who are drifters, one in particular is the Drift king. You see Han from the fifth film(snacking as usual) and he likes the kid so he teaches him how to drift. Han is also stealing money from the Drift king and he wants to take down and his new prodigy with speed in the fast lane. The film wasn't all that fun which is what these movies are meant to be, their meant to be fun action movies . But the only fun out of this film like the first two is the street racing. That's it. Not any fights, not any characters, not even any shoot outs. This film just lacked the amount of fun you would want in an action film. The performances in this film are as bland as butter, the only one who seemed to be trying where Suang Kang and Brian Tee they were the only ones I bought in this movie. Everyone else is just bland or terrible. Don't even get me started on Bow Wow, the credit shows him as Shad Moss being the actors name but my TV said Bow Wow so I think LetterBox is wrong on that. But yeah he was the worst thing about this movie. The Fast and Furious Tokyo Drift does have cool car sequences but also a watered down and uninteresting plot, bad acting and characters you can't get into, I'm giving this drifter a two out of five.",Spideyfan-963-246215,2016-09-08,2016,0.082,0.787,0.13,0.9713,Positive
134,1.0,Forgettable,"How can I describe The Fast and the Furious Tokyo Drift in one word? I would have to say ""forgettable."" I'm a huge fan of the Fast and the Furious movies. I think they're awesome. I watched Tokyo Drift once on TV. I wasn't impressed. After having loved The Fast and the Furious and 2 Fast 2 Furious, I hated Tokyo Drift. After that, I really had no interest to see Tokyo Drift again. But I saw it a second time only because I was hanging out with friends and one of the guys turned it on. I didn't leave. I watched it and decided to see if it would be better a second time around. The opening to Tokyo Drift really wasn't anything special. The race was nothing great. Especially when you compare it to the first impressive race they had to start off 2 Fast 2 Furious. The protagonist we are introduced to is Sean Boswell, but there is really no immediate reason to really like him. I also guessed from the beginning of the movie that the soundtrack was going to be terrible. And oh boy was I right. This movie had one of the lamest soundtracks ever. The storyline to the movie isn't really that original or interesting. It's basically Karate Kid and Karate Kid Part II, only with racing. The writers were clearly inspired by those movies instead of the previous Fast and the Furious movies when they wrote this. There's the new guy moving to a new place and starting at a new school. He meets a girl he likes, the girl has a mean boyfriend. The mean boyfriend and main villain of the movie is D.K. D.K is a cross between Johnny Lawrence from Karate Kid and Chozen from Karate Kid Part II. Only unlike Johnny, instead of kicking the protagonist's ass and humiliating him with karate, D.K. does it in a race. Sean, our very dull hero, realizes that racing in Tokyo is a hell of a lot different. It's a different kind of racing called drifting. He is taken under someone's wing and trains. D.K., like Chozen, gives our hero a beating, gets dishonored in the movie, and even has a powerful uncle that he respects and fears. There was one interesting idea in the whole movie and that was the new way of racing. They decided to try something new with the drifting. Personally, I prefer the good old street racing from The Fast and the Furious and 2 Fast 2 Furious. But hey, they wanted to try something new with Tokyo Drift. Unfortunately, the other new things just didn't cut it. The cast of Tokyo Drift was nowhere near as good as the solid casts they had in the other Fast and the Furious movies. The villain in Tokyo Drift is a weak villain, the love interest, Nathalie Kelley was nothing special, Sung Kang was nothing special, and Bow Wow just wasn't a good casting choice. Seriously, Bow Wow? Finally, I have to get to the star of the movie, Lucas Black. Lucas Black couldn't top Paul Walker or Vin Diesel. I didn't think he was going to. How could anyone? But he was just a terrible leading man. He was dull and boring and had zero charisma. Paul Walker and Vin Diesel are certainly not dull or boring. And they both have charisma. They were able to use that charisma to make you cheer them on and root for them as you watched the movie. I don't know what they were thinking when they cast Lucas Black to play the hero. I saw this movie twice and both times were out of curiosity. The first time, I wondered what it was. The second time, I wondered if I'd like it more. The movie didn't come through. To all of you Fast and the Furious fans out there that absolutely love this franchise, skip Tokyo drift and go straight to Fast and Furious. It featured Paul Walker and Vin Diesel and that was the way it started and should have stayed. Okay, 2 Fast 2 Furious didn't have Vin Diesel. But Paul Walker did great carrying the movie and Tyrese was just fine. Tokyo Drift had no one to carry the movie or save the movie. Seeing the Fast and the Furious movies that followed Tokyo Drift only make you realize more how bad Tokyo Drift really was. If you decided to start a Fast and the Furious collection, great. But I'd leave Tokyo Drift out and focus on the other movies that have everything you could want in a movie. We definitely could have done without Tokyo Drift. It's a shame they decided to tie it in to the rest of the movies because it was unnecessary. We also could've done without Sun Kang's character Han. And just in case you're wondering, Lucas Black wasn't used for the rest of the movies. He only showed up once and for a minute in Furious 7 to help tie in Tokyo Drift. The dull Lucas Black and his character are, like Tokyo Drift, forgettable.",mercury4,2016-09-19,2016,0.167,0.69,0.144,-0.9838,Negative
135,7.0,It's All Drifting,"OK Now I'm on Tokyo Drift .... Let's see, What I like about TD is the introduction of H A N Z. I love him in this installment with his fine self. I love his calm cool demeanor and those eyes. Yes those eyes ... He came in and played himself it's not like he took on the role of any of the other characters but then again I guess that may have been part of being allowed to use the franchise name and continue to push out installments. Just in case the originals ever got on the same page and in agreement to all come back and do another installment. But this installment I like because of the ""drifting"". It was a fresh and new at the time and I thought it was some of the better drifting I'd ever seen had me wishing I could do that and wanting to move to Tokyo ....I'm such a big kid, I know LOL. I don't think Bow Wow brought anything to the line up or the franchise. He was like a Luda type character. All the while I'm sitting here typing this review I'm watching TD and other than the drifting and Hanz, it was not as good as I remember.",hersheedontplay,2016-11-24,2016,0.036,0.791,0.173,0.982,Positive
136,6.0,Far better than the previous two,"Well, it is rather odd that IMDb is labeling this movie as a romance because I would hardly say that it is a romance beyond any other action movie that has a romantic element in it (and there are very few action movies that don't have a romantic element in them, but just because boy gets girl doesn't make the movie a romance). Anyway, what surprised me about this film is that there was no connection between this film and the last two (with the exception of a Vin Diesal cameo), and further more it didn't follow the lines of an undercover cop come drag racer infiltrating an illegal drag racing ring. In fact this film is probably more what the first film should have been as opposed to what it turned out as (though we should note that this film is set in Japan as opposed to the United States so there are some cultural differences that are relevant).So what we have in this film is the story of a rebel, Sean, who get his first speeding ticket the day after he got his driver's license, and is a bit of a loner namely because his carefree attitude means that his mother has to keep on moving. Anyway he lands up in another drag race which results in the destruction of two cars and a housing estate, and since the other participants have really rich parents he is the one who has to take the rap. So, he is sent to Japan to live with his father. The problem is that this is the type of guy that always seems to find trouble, and since he is a gaijin (non-Japanese), he ends up hanging with the other gaijin, and gets involved with illegal street racing there as well. The thing is that racing in Japan is vastly different from racing in the United States. Whereas in the US you have flat surfaces and long straight roads, you don't have that in Japan. As such racing here involves going up and down carparking lots and mountains in a form of racing called 'drifting'. Basically drifting involves navigating tight turns at high speeds without causing damage to the car, and winning the race. This is something Sean doesn't realise when he lands up in this new world – the rules of racing back in the United States – the 10 second race – don't apply here. In a way this film is similar to the other films, but different, and a part of me feels that this addition to the franchise kicked it off to the extent that it is now up to film number seven, though the rumour was that the actors in the previous films were not too keen on coming back and that this was going to be a reboot. However, what impressed me was that the story was completely different, though I would hardly call it original. In a sense it is one of those fish out of water stories, the story of a guy that simply wants to belong but has a lot of trouble doing so. We see this at the beginning of the film where we seems to wander around without any real friends. Obviously this changes once he gets to Japan since being different he is able to attract others who are different as well. Mind you, the one criticism that I do have of the film is that Sean clearly knows no Japanese so it makes me wonder how it is that he is going to learn anything in a Japanese school (and it was pretty clear that they taught in Japanese). Also, isn't it interesting that they always go after the girl that they can't have, and eventually get her. It doesn't really send a strong message to our impressionable youth. Mind you, the fact that the two protagonists in this film refer to women as 'their girls' doesn't do much in the way of dismantling the objectification of women, and further that one of the girls puts herself forward as the prize for the winner of the race is even worse. No wonder Hillary lost.",The-Sarkologist,2016-12-02,2016,0.086,0.803,0.111,0.9701,Positive
137,6.0,"The Worst Of ""TFATF"" Movies, But Still Worth Watching","The third movie in the ‘Fast And The Furious’ movies — but chronologically takes place much later in the series — has a teenager (played by Lucas Black) sent to school in Tokyo because he's been a naughty boy in America and his illegal racing activities will get him sent to prison unless he goes to another country to live with his father. Huh? What? Hey, never mind this isn't a movie about logic and realism. Anyway Black is now in Tokyo, gets the hots for a classmate who is dating a gangster (played by Brian Tee), and is introduced to drifting (a controlled, sideways movement of a fast moving car). Ah! ‘Tokyo Drift’ you say with a big grin. Not wanting to look like a punk who can't drive, Black is taken under the wing of ‘TFATF’ alumni Han (played by Sung Kang) to be taught how to drift so Black can settle all his problems by racing and drifting. Makes sense? No? Well, it's not supposed to! This movie is for people who like to drive fast cars and want to see crazy, fast driving in the movies. I'm one of those people, but I also appreciate a well-written story. Oh, well, at least I get half of what I want. My most memorable, movie moment of ‘The Fast And The Furious: Tokyo Drift’ is the scene when **SPOILER ALERT** Kang is being chased by Tee, and Kang's car flips over and explodes, killing Kang. Why is this so memorable to me? Because the Han character played by Kang is my favorite in all of ‘TFATF’ movies. Although ‘Tokyo Drift’ is my least favorite movie of this series, it still ties in to the storyline, especially to the later movies, so it's a must see for ‘TFATF’ fans. Mannysmemorablemoviemoments",destinylives52,2017-01-08,2017,0.086,0.79,0.125,0.8712,Positive
