Rating,Title,Content,Author Name,Date,Year,Negative Score,Neutral Score,Positive Score,Overall Percentage Score,Overall Sentiment
3.0,The first one BORING!,"Even the atrocious Tokyo Drift wasn't boring, it was just bad at everything, insulting even, but not boring. This one tried to have a more complex plot/story, with character development and emotive scenes, but without better actors and written dialogue and without sacrificing any second of ‘car scenes’. It failed. Some of the things kind of worked out: -Toretto solidifies himself as a ‘sensitive good’ criminal with a good arc in the movie, (even if probably a bit forced) -Brian finally goes full on criminal -The plot exists and is dense. There are plenty interconnected subplots that end up in a coherent way. But getting those things right, only provoked bigger problems: -A more complex plot required a lot of boring scenes filled with exposition. -A more complex plot showcased how unbelievable the whole thing is. The FBI in particular felt impossibly fake -A more complex and emotional plot required more acting from Paul Walker and Vin Diesel, and they are just terrible actors. -A more complex plot without any realism and depth and overall point (no social commentary, no ideology, no political discussion) gets boring and takes away minutes and chances for more comedic scenes (more appropriate for this franchise)",educallejero,2019-03-24,2019,0.191,0.725,0.084,-0.9825,Negative
4.0,Best in the series so far,"I found that the fourth part was more mature then the ones before. You had the usual racing, no-logic, Little Story, women who willingly offer themselves to anybody and the original cast. But thought it wasn't so dump and flat this time. The actors even... acted from time to time. I liked Vin Diesel very much here. The idea of Brian of beeing a cop and beeing a criminal annoyed me very much. As if no one really had to pay for the crimes they have commited. Well Dom seemed to get like 25 years in prison at the end, which shook me a lot as it ended so abruptly. Sure the Boys and one Girl where about to save him from that... Again the message here: Laws are for the usual People and with a fast car you can just escape?",lythis-love,2019-04-18,2019,0.109,0.736,0.154,0.7779,Positive
7.0,Brilliant film.,It's say Brian is back working for the FBI and the movie he does but in the first movie he worked undercover for the LAPD. And what gets me is when they blame Brian when it was the FBI Agent Stasaik. That gave the go order to arrest Braga/Campos.,wesgunton,2019-04-22,2019,0.117,0.883,0.0,-0.7351,Negative
1.0,Annoying camera shake...,"Every time there is a fight scene, car chase or action sequence the camera shakes around all over the place and you can't see what's happening. What's the point of that? I gave up trying to watch it because I got a damn headache... Grrr",phil-932-237806,2019-05-10,2019,0.138,0.862,0.0,-0.6908,Negative
7.0,feels like we're back home,"Beastly movie. Awesome action, great racing scenes, good story. Lots of creative ways to improve on the racing parts. Hate-able villains. So many awesome intense scenes and omg moments. Was pretty deep like the original movie with some good emotional moments and character relationships. Even small things reminded me that we're back in the world created by the original, like dinner with family with a nice song playing, or mia yelling ""dom stop!"" lolit has lots of flaws but this movie is a great time. It brought the series back to where it needed to be. It captured the feel of the first movie. And i wonder if it gave them the confidence to go all in on fast 5 and subsequent movie-films (random borat reference lol) (4 viewings, 6/18/2021)",FeastMode,2019-06-24,2019,0.037,0.674,0.289,0.9862,Positive
6.0,Fun but familiar,"Once again, it follows the same plot points as some of the previous installments but Fast and Furious is still fun and its beginning to embrace the ridiculousness. Vin Diesel and Paul Walker give great performances and it's nice to see them back in the same film. John Ortiz is a really good villain. The action and car chases are also really good as usual.",masonsaul,2019-07-25,2019,0.138,0.594,0.268,0.9233,Positive
8.0,Fast and furious,"Fast & Furious (2009) is an awesome Action packed sequel, where The Fast and the Furious (2001) stopped. This is the real sequel to The Fast and The Furious. I love that Paul Walker, Vin Diesel, Michelle Rodriguez and Jordana Brewster reprise their roles back to the roots the way they were. This is my fourth favorite best film in the series, this film Is a seat to the edge from the beginning till the end. This movie kept me thoroughly entertained from beginning to end. Sure it's a little far fetched, but who cares?It's a movie, and definitely not as bad as some people are saying. Besides, the point of watching a movie is to escape reality so I don't understand why people complain when movies are not realistic. Provided a cinematic equivalent of NOS to the franchise with a tone shift that helped make it one of the most popular and profitable action series in the last decade. Excellent flick. Much better than the middle two. Just forget those movies happened. This was good balls to the walls action with much better actors with the original 4 back together. Bad idea making 2 and 3 :)Vin Diesel and Paul Walker re team with Michelle Rodriguez and Jordana Brewster for the ultimate chapter of the franchise built on speed! When fugitive Dominic Toretto (Vin Diesel) returns to Los Angeles to avenge a loved one's death, it reignites his feud with agent Brian O'Conner (Walker). But, as they race through crowded city streets and across international lines, they must test their loyalties by joining together to bring down a shared enemy. From big rig heists to precision tunnel crawls, Fast & Furious takes you back into the high-octane world, which lives for speed, drives for the rush and breaks all the rules!""Maybe you're the bad guy pretending to be the good guy.""This film is more about stopping a notorious drug lord Arturo Braga and avenging the murder of Letty (Michelle Rodriguez). This film is set back in Los Angles when everything started, after 5.years of leaving the city of Angeles for Dominican Republic after Dom (Vin Diesel) and his crew become a Wanted Fugitives. Letty was murdered when she was mixed up in a drug racers mule cartel. She knew the people who hired her, will double crossed her, while trying to escape the flying bullets she was killed by a drug lord's henchman. That weary angrier Dom (Vin Diesel) brings him back to Los Angeles, to avenge his loved one's death and tracking down Drug Lord Braga and killing him. Brian O'Connor (Paul Walker), is now an FBI agent, and he is assigned to track down a notorious drug lord named Arturo Braga. Both men faces each other in a final showdown. Braga is looking for a fast drivers that are driving and smuggling trough desert New Mexico drugs. Brian goes again undercover only to find out that he and Dom (Vin Diesel) are been double crossed and set up on the same way that was Letty (Michelle Rodriguez) was.This film is filled with full action, fast cars, full of stunts and beautiful women. Gal Gadot is tremendous as Gisele Harabo it was her first role in this film and she was awesome, she acted the character terrific. Paul walker was the best in this film, finally, finally they did something with the character, he become an FBI Agent which I love that with the character In this movie. I love that Dom (Vin Diesel) at the end of the film didn't run, he surrender and I love how Brian ( Paul Walker) was testifying for him in the court. Seriously this film Kicks ass, although I prefer Fast Five over this Action Flick, but that doesn't mean this film did not do the job right, it did! And this film is highly underrated and criticized by critics. Also Han (Sung Kang) has a small scene in the beginning of this film, that was before they killed the beloved character in The Fast and the Furious: Tokyo Drift (2006).The rating I am giving to this film is 9. Anything below 7 would be ridiculous, if anyone would not say that this wasn't At least A GOOD ACTION FILM! (it is sure as hell",dineshaishu,2019-07-28,2019,0.142,0.713,0.144,-0.6027,Negative
6.0,Definately Better Than The Second Film,"Fast and Furious is, in my opinion one of the high points of the early Fast films. I could enjoy Fast and the Furious for what it was. 2 Fast 2 Furious I could not really get into despite the awesome races. Fast and Furious is where I started to like and get into the franchise. There are many reasons for why this is.I find the characters to be better this time around. Vin Diesel's character, Toretto, is back with a vengeance. Him being back, and his character arc in this is one of the main reasons I like this film more than the previous ones. I am also a fan of revenge stories, which made me enjoy this more.I like Paul Walker's character, Brian, more here than any of the previous films. He seems more mature and professional here. In this film he has been reinstated as an FBI agent. I still do not really buy him as an FBI agent; he does come off as more professional and less of a punk in this movie.Jordana Brewster, from the first film, comes back as Mia, who is Brian's love interest. I thought she was fine, but she is not given much to do. The other characters are not much.The villain is also very lazy. The Fast films have never had strong villains, but I find this one particularly weak. The villain in this movie along with the villain in the first film is probably my least favorite villains of these movies.The races are still fun to watch. The races here are probably some of my favorite of the franchise. Although there is some very obvious CGI used in some of the races and car chases which might take you out. There was CGI used in the previous films as well, but here it is particularly noticeable. The CG did irk me, but it did not ruin the action.Overall, Fast and Furious is my second favorite Fast film so far. I definitely like it more than the films before it. I like the darker tone, as well as Vin Diesel and his character arc. The races were also good despite the noticeable CGI. For those who are fans of this franchise give this a look if you have not already.",mitchell5954,2019-08-16,2019,0.113,0.748,0.139,0.7403,Positive
4.0,Not enough female actors,It was all just men cars and sexualization of women. Would've appreciated more female actors and leads,saimabid-01939,2019-08-31,2019,0.0,0.829,0.171,0.5106,Positive
5.0,What,Fast and the furious was a racing movie not an action,zhyarTheChosen,2019-09-08,2019,0.27,0.73,0.0,-0.5719,Negative
