,Unnamed: 0,Rating,Title,Content,Author Name,Date,Year,Sentiment Overall,Negative Score,Neutral Score,Positive Score,Overall Percentage Score
0,0,9.0,Superb ACTION movie!,"Fast and Furious 6 is an exciting action movie in which ACTION is being written in capital letters.Throughout the movie we can enjoy a fast paced movie with an interesting enough story line and even some plot twists.Additionally we can enjoy quite a few scenes which contain great (in my point of view) gags. For example after the fight in the underground of Roman and Han against their (single) opponent or Hobbs line at the entrance to the barbecue (while this line was even improvised by Dwayne Johnson).All this sprinkled with sad elements of main characters dying, which may surprise some viewers of the Fast and Furious series, complete this movie to a much enjoyable piece of its own kind of art.Side note: Obivously some of the action is exaggerated but I rather see that as it's own kind of style in this series / ""universe"".",daniel_roettger,2023-03-24,2023,Positive,0.062,0.848,0.09,0.5346
1,1,5.0,The Road To Fast X,"Fast & Furious 6 was released In 2013
This installment in the Fast & Furious Franchise was absolutely stupid I really don't remember a thing about this movie.The plot and story was bad
The acting in this movie was awful some of the side characters was bad the effects are bad and haven't aged well
The cgi is also bad
For the most part it seems to focus on Letty
And on from the events from Fast & Furious
Fast & Furious 6 is the stupidest installment in the Fast & Furious Franchise
Every Friday we will be reviewing every Fast & Furious movie leading up to Fast X
The Road To Fast X
The End Of The Road Begins.",jasonmichaeld,2023-04-08,2023,Negative,0.312,0.688,0.0,-0.9936
2,2,8.0,Impressive action sequences,"The follow up sequel to the critically acclaimed Fast Five, sees Fast & Furious 6 in someway of a different light.Although not as polished or fresh as Fast Five, this film still delivers on great action sequences, a solid plot, and enough light hearted and comical moments for an enjoyable watch.The main plot regarding Letty (Michelle Rodriguez) being brought back from the dead and her supposedly having amnesia of some sorts was a clever twist. We kept watching to see just how real and legit it was.This film also expands more on the characters and more on Brian (Paul Walker) and Mia (Jordana Brewster) with their family dynamics.Dwayne Johnson remains impressive as Hobbs, however feels less utilized due to lead villain in Owen Shaw (Luke Evans- a rather generic and boring villain). We are glad that his appearance was only in this film as the conclusion here clears him off.Overall the climax and action sequences including the main tank scene then the finale with the plane high jacking are thrilling enough that it carries the film.Although not on the overall level of its predecessor (Fast Five), Furious 6 still is a great and enjoyable watch. As a rewatch 05 19 24 opinions remain same. Not on the same level as Fast 7 but still nonetheless entertaining.",Floated2,2023-04-12,2023,Positive,0.064,0.825,0.111,0.7992
3,3,8.0,"Fast & Furious 6 Was An Improvement After The Flawed Decent Fast Five, And It's A Good Installment Overall","Fast & Furious 6 was an improvement after the flawed decent Fast Five, with a better story, a better pacing, good performances, and exciting action, all they have to do now is bringing back the magic of the first four and not trying to make a similar story over and over again, this must be the last, it is still different but i know they could do something else, it is still a good movie, a good installment that fills with things that i've mention earlier, plus again it's entertaining and it's fun.Imdb didn't let us making short review anymore. So i don't know what i'm gonna wrote except this and hey this included on the required characters so while i wrote this it's actually included and there you go!",HabibieHakim123,2023-04-15,2023,Positive,0.03,0.821,0.149,0.9468
4,4,6.0,Enjoyable,The last film in the franchise released in Paul Walker's lifetime. R. I. P. Paul. You'll be missed.Introducing vehicular warfare with a sick new Flip Car and a tank. There's some really lavish looking immersive racing stunts in this film. Unfortunately this movie still plagued by Chris Morgan's sloppy writing.The last film in the franchise released in Paul Walker's lifetime. R. I. P. Paul. You'll be missed.Introducing vehicular warfare with a sick new Flip Car and a tank. There's some really lavish looking immersive racing stunts in this film. Unfortunately this movie still plagued by Chris Morgan's sloppy writing.,ashfordofficial,2023-05-07,2023,Negative,0.145,0.855,0.0,-0.93
5,5,7.0,"Entertaining, but a letdown from Fast 5","It's great having all of the ""family "" returning again for more high speed action. The difficulty the franchise faced was trying to find a way of bringing the crew out of retirement and a way to reintroduce Letty. It did so in a clumsy way in my view suggesting that all that time in the previous installment that Braga was actually working for Shaw and that Shaw immediately went to visit Letty in the hospital after she didn't die but her memory was conveniently wiped. Somehow Shaw foresaw that Letty would be a useful asset in a future showdown with Dom.

In the previous installment Brian who was in high level law enforcement and Dom went to great lengths to try and discover what happened to Letty and surely they would have found she was admitted to a hospital and not dead.

None of it seems plausible, but of course we don't watch this series for its realism.

Overall there are some high quality chase scenes and there is some great dialogue in addition to the action. For all that Shaw was chalked up to be as a villain I was ultimately not that impressed with the way he went out. Further, the betrayal by Hobbs new assistant seemed pointless and really seemed just thrown in for the sake of it.

Overall the movie can't compete with the quality of its predecessor, but it still is a worthy sequel.",ThereelscoopwithKK,2023-05-09,2023,Positive,0.054,0.813,0.133,0.9714
6,6,7.0,Maybe the best in the franchise,"Five was the movie that changed the direction of the franchise and brought about a lot of changes that people loved, so when this came out most people must have thought it was just trying to be bigger and not better. I think I was the same when I saw this from the theaters 10 years ago and thinking this is not as good as five. Now, rewatching the franchise, this is the best in the franchise along with the very first one. This doesn't have the awkwardness of trying to find what it is like its predecessor, it just starts right off and goes on in top gear. There are a lot of stupid ideas in the plot itself but all of those were already established in the previous movies and everything they tried here is perfectly calculated and balanced with respect to where the franchise is. Of course, it's nothing great but they know precisely what it is and did exactly what needs to be done. Everyone knows what their roles are. The Rock has found his charming screen persona here from his rigid outing in the previous movie. Michelle Rodriguez sells the impossible job that is her role, which could have been nothing but cringe if done any differently. And they finally made the Tokyo connection which is still very weird timeline wise but at least they didn't further lengthen it.",Jithindurden,2023-05-09,2023,Positive,0.054,0.834,0.111,0.9507
7,7,6.0,Furious 6,"I really quite enjoyed F&F5 (2011), but this one has sunk back into the routine car chase and endless pyrotechnics series of scenarios and despite retaining the stalwarts in Vin Diesel (""Dom""), Paul Walker (""O'Conner"") and the more recent arrival ""Hobbs"" (Dwayne Johnson) it is all very so what? The germ of the plot is that the gang travel to London to find ""Letty"" (Michelle Rodriguez), long thought to be dead. Now it appears she is working with the nasty ""Shaw"" (Luke Evans) - but is she? Who can trust whom? It is refreshing to see that the Metropolitan police are no better at stopping the streets of their city being used as a race track - with carnage ensuing all around; even some big red buses take a hit. We have some fun with a tank, and a plane - indeed it's really only an ocean liner that is missing from this quickly paced, action effort. Sadly for me, Evans is not in the least menacing and the ending just goes on for far, far, too long. I did quite enjoy it on big screen, but I can't think I would ever bother to watch it again.",CinemaSerf,2023-05-15,2023,Negative,0.113,0.816,0.07,-0.8727
8,8,8.0,Over the top action sequences better seen on the big screen impact lost on the smaller TV,"(2013) Fast And Furious 6
ACTION ADVENTUREThe thin plot about FBI agent Hobbs (Dwayne Johnson) requesting anti-hero group recalled from Domenic (Vin Diesel) to infiltrate sophisticated criminal heist group headed by Shaw (Luke Evans), and assisted by Domenic's old girlfriend Letty (Michelle Rodriguez)who was assumed to be dead in exchange for full pardons was only an excuse to showcase one unbelievable action sequence after the next. Some are more over-the-top than others, with amusing one-liners that can be labelled as sarcastic which the audience that I went to watch this with garnered some laughs. What I liked from this installment is that it cuts-to-the-chase starting with the birth of Brian O'Conner's (Paul Walker) first born baby with Domenic's sister Mia (Jordana Brewster)-this is shown in flashbacks as viewers are anticipated to see how clever Shaw and his criminal group fair against Dominic's group who did manage to steal billions of dollars from one of Rio's drug most powerful lords and have him killed in the process from the last installment. In comparison all four ""Fast And Furious"" films directed by Justin Lin I have to say that this film comes to a close second to ""Fast Five"" since they're more over-the-top action sequences than it's predecessor which the only over the top action scene only occurred at that end involving dragging a bank vault. Instead of focusing on trying to top it off, Lin could've showed never before action scenes and the film can still be just as good if not better.",jordondave-28085,2023-05-16,2023,Negative,0.112,0.778,0.11,-0.6611
9,9,6.0,The one with the longest runway ever,"From an action perspective, ""Fast & Furious 6"" is everything you could ask for in a movie. There are tanks, airplanes and an insane bridge jump, among many fast cars. If you can throw logic aside, the action is exciting and fun.I liked seeing the whole gang together and clicking. While I'm not a huge fan of the ""not dead but with amnesia"" plot point, it works decently well in this movie.The action editing is strong, but the rest of the editing is a bit clunky. The acting gets better with every installment, though Ludacris' performance is particularly bad.Best Character: Brian
Best Quote: ""It changes everything"" - Hobbes
Best Scene: The PrisonHonorable quote mention to the final ""forehead"" line.",jace_the_film_guy,2023-05-16,2023,Positive,0.05,0.754,0.195,0.9736
