Rating,Title,Content,Author Name,Date,Year
7.0,"Still fast, still furious","Fast and Furious, or 4 Fast 4 Furious if you're keeping count, is a movie you can basically sum up in one sentence. Muscle guys, muscle cars, hot chicks, and incredible action sequences. Not much has changed in the four films other than who the muscle guys wind up being played by but nonetheless, if you're going to the movies strictly to continually watch these things, then not only will this series run forever, but you should have no problem sitting through this fourth flick. Of course the other thing to look at here is the resurrection of Vin Diesel's action star persona, and considering he's been doing movies like ‘Babylon AD’ and ‘The Pacifier’ for the past couple years, you can basically say this is one of his better performances in a real long time. The plot is pretty thin but I'm sure for fans of the first movie it will be nice to see the two leads back playing their roles. Diesel reprises wanted felon Dom Toretto, who after escaping at the end of the first movie seems to have started a new life in the Dominican Republic knocking over trucks. What brings him back to Los Angeles is revenge for the death of his girlfriend (Michelle Rodriguez) at the hands of brutal drug dealers led by Braga. This brings him face to face with the man who infiltrated his gang in the first flick, Brian O'Connor (Paul Walker), now an FBI agent going after the same drug dealers. And wouldn't you know that driving plays a big part in Braga's whole smuggling operation so both Brian and Dom team up, amidst some trust issues, to bring down the drug cartel. Hopefully director Justin Lin (‘Tokyo Drift’) gets the credit he deserves this time around. He's fantastic with these action sequences, not only making them pulse-pounding thrill rides but also letting you feel like you're in the car with these characters. The movie starts out brilliantly with a propane truck hi-jacking that turns life or death when things get out of control and the truck barrels down on the hi-jackers, and then just continues to go full throttle, staging a race on a crowded Los Angeles street and then chases in an underground tunnel shaft. Once these characters get in their cars you won't be bored for a moment. Outside the car is a different matter though. Both actors do what they can. Diesel is adrenaline personified. With his gravelly voice, bulging biceps, and cool, playful way around a line of dialogue, he's a lot of fun to watch. And while still pretty wooden, I admit that Walker has a pretty-boy face and an athletic physicality that makes him a good hero. This pairing worked well in the first movie, sort of like an amateur, yet entertaining, version of the adrenaline-seeking- cop and criminal formula a la ‘Point Break.’ Just after four movies it's all gotten stale and it's easy to see that the cars are the real stars here. The Dom-Brian conflict and Dom's vendetta against the cartel is mostly overshadowed and there isn't much for either character to do when away from their vehicles. Diesel and Walker try but they always seem to be a couple wheels short of competing with the four-wheel drive. ‘Fast and Furious’ deserves credit for doing the key things well. If your expecting much from anything other than the cars then it's a disappointment, but thanks to Justin Lin this has all the makings of a really thrilling action movie, making this fourth flick in the series a little bit better than its predecessors and a lot of fun.",C-Younkin,2009-03-31,2009
7.0,The Family is back and the franchise is Saved!,"Dom Toretto (Vin Diesel) and Letty (Michelle Rodriguez) have escaped to the Dominican Republic and resume their criminal ways. However when the cops close in on Dom, he decides to leave everything behind including Letty. Later he finds that Letty has been killed while working for drug baron Braga who is using street racers to drive his drugs across the border. Only he doesn't know that Letty was working for Brian O'Conner (Paul Walker) as an informant. Now Dom and Brian are both trying to get Braga by infiltrating his group as drivers.The family is back and the movie is so much the better for it. Director Justin Lin returns after Tokyo Drift. The franchise really missed the presence of Vin Diesel. The only minor disappointment are the car chases. They're good but just not great. They can be better. It's also sad to lose Letty so early on in the movie. It misses her energy.",SnoopyStyle,2014-02-23,2014
7.0,Great Adventure,"When Dominic Toretto (Vin Diesel) is informed that his beloved Letty (Michelle Rodriguez) was assassinated, he returns to Los Angeles to find the murderer. Meanwhile, his former friend and FBI agent Brian Conner (Paul Walker) is assigned to capture the mysterious drug lord Braga that is looking for replacement drivers, working undercover as his courier, driving from Mexico to USA through the desert. Dom discovers that Letty was working as a courier for Braga when she was killed and he decides to join his gang to find the killer. Their lives entwine substantiating their friendship and Brian dates Mia Toretto (Jordana Brewster) again. But they need to find the true identity of Braga. ""Fast & Furious"" is a great adventure and an excellent entertainment as good as the first movie of this franchise. The chemistry between Paul Walker and Vin Diesel is amazing performing very likable characters. The talented Jordana Brewster is for me one of the most (if not the most) gorgeous actresses of her generation and I look forward to see her works. My vote is seven.Title (Brazil): ""Velozes e Furiosos 4"" (""Fast and Furious 4"")",claudio_carvalho,2009-12-12,2009
7.0,It's nice to have you back,"I loved ‘The Fast and The Furious.’ Cars, ladies, cheesy lines and acting, crazy action = a groovy mix! Fast forward a few years and we finally have ‘Fast & Furious’- the first true sequel! So much nostalgia! Seeing Vin, Paul, Michelle, and Jordana together again was fantastic! You can tell that these characters have grown since the first film. Brian is working on a case with the FBI that brings him in collision with Dom, who is back in the states seeking revenge for the murder of his gal Letty. This entry is definitely a bit heavy compared to the first few but that doesn't mean there isn't fun to be had! The opening sequence and the race at the middle of the film are two highlights! The tunnel sequences were not as good though, CGI being one of the reasons- still enjoyed it though! The F&F franchise isn't really known for stellar acting or writing or even realistic action sequences so it's no surprise that this sequel plays the same way. I think that's part of the charm of these movies, at least for me. Don Omar and Tego were hilarious, John Ortiz was good as the villain though not at all threatening, Fenix was just asking to get owned by that car in the end (what a way to go), and seeing Han from Tokyo Drift was a nice little treat. I had hoped we would see more of Gisele and we do in the sequels! That's a good thing! ‘Fast & Furious’ is a fun, dramatic, action-packed continuation of the franchise with some nice nods to the original that fans will appreciate. The ending got me so pumped for the next one!",joshrortiz,2013-05-27,2013
7.0,The best of the series by a mile,"I just got back from the midnight screening of 'Fast & Furious' and I have to admit the movie very much exceeded my fairly low expectations for the film. While the original film was entertaining, it was never a good movie by any means. Let's not even get started on the two that followed. The fourth installment however, is another story. Most of the original cast has come back and seeing them back in action together really makes you realize the F&F franchise isn't the same without them. The chemistry between the three leads (Diesel, Walker and Brewster) is the strongest it's been yet, and I would dare to call several of the scenes 'moving' as a result. Who would have ever expected that from Fast & Furious. The movie does an excellent job of keeping you on the edge of your seat, there's no shortage of action and a story that keeps your attention. The movie starts out in the DR with Vin Diesel pulling off a fairly implausible heist of hijacking a fuel tanker with his new crew. Minutes later, we learn of Letty's murder which in turn basically sets the tone for the rest of the movie as Diesel sets off on an all out rampage to even the score. Like the previous three, you certainly need to suspend your disbelief for the duration of the movie, however I was glad to see they didn't go overboard and kept the special effects and CIG to what seemed like a happy minimum. Anyone who's ever been a fan of the Fast and the Furious series will absolutely need to go see this on the big screen. Even if you weren't so hot for the originals, the movie is still worth a look. In my opinion it's acting, story, plot, special effects are the best of the series so far and almost makes it stand out as a respectable movie. Better yet, they've left the door wide open for 'Fast & Furious 5'. To be continued...",phatrick88,2009-04-03,2009
7.0,"Original cast, different story","After two films that strayed away from the very first that made the franchise popular, producers to The Fast and the Furious (2001) decided to finally bring back the original cast and big name stars. That was one of their best decisions that have been made. It's baffling to why they thought changing the cast would really benefit them in any way. All it does is create resent and a disconnect with the new characters. Fans don't appreciate that. However, this is not the only difference brought to this ongoing series. The original cast returns but the story changes. Oh yes, there's still an abundance racing cars but it's for a different reason.The story reunites Dominic Toretto (Vin Diesel) and Brian O'Connor (Paul Walker) again to help in the arrest of a Cartel who is secretly making drug shipments in and out of the border of Mexico. However, these events only happen under very coincidental circumstances. The writer behind this installment is Chris Morgan, the same man behind The Fast and Furious: Tokyo Drift (2006). Morgan's writing is articulated in a way that still incorporates racing but it's no longer about who's packing nitro next to their driver's seat anymore. That part, fans should enjoy and this is really its strongest element. However, what Morgan still can't accomplish is a narrative that is cohesive enough that makes sense in its continuity. Just why exactly was Tokyo Drift (2006) made if they planned on making a prequel to it 3 years later?Also, the character of Brian O'Conner is getting a tad redundant. He still lies and he drops the FBI after 2 Fast 2 Furious (2003), but now is working for the FBI of L.A. And this would be fine and all if he would stop being such a rule breaker. O'Conner just can't seem to follow the rules he swore to uphold. Why doesn't he just stop working for the FBI - it doesn't benefit him. Thankfully, O'Conner no longer has a love interest problem. He's stuck with Mia and that's it. Character wise, there aren't much of any new appearances except for the antagonists. Toretto is back along with his girlfriend Letty (Michelle Rodgriguez) and sister Mia (Jordana Brewster). The only character that makes a subtle change is Paul Walker at which most girls will think he's the next heartthrob. Instead of having wavy surfer hair and wearing casual clothing, he now has a tux and a straight crew cut. Yeah, I could see why.The action is still fierce too. Instead of collaborating frequently on the town alleyways, the driving sequences also expand to broader horizons with larger landscapes and less tar. It'll give the audience something new to look at instead of the neon high beams and flashing traffic lights. The special effects also conform well to their surroundings; nothing looks out of place. Lastly, the franchise has finally found a solid contender to compose a score and that is Brian Tyler. During some very sentimental scenes, Tyler is able to emphasize those moments with the right emotion. Yet, Tyler is still lacking a distinctive theme for this franchise, which is a shame. He is an accomplished composer. Overall, a better sequel than the last two.With the original cast back and a story that involves more than just fast cars, this installment starts to resurrect what it had going for it from the start. Its continuity nonetheless is a totally different issue that still needs addressing.",breakdownthatfilm-blogspot-com,2014-05-26,2014
7.0,fourth in the series,"i thought this prequel to Tokyo Drift was actually not bad.it starts off with a real adrenaline rush.the racing scenes are pretty good,as are the chase scenes.the story was good,and flowed well.there are quite a few dramatic moments in this film and they all work well.most of the original actors form the first film in the series are back,including Vin Diesel,Jordana Brewster Michele Rodriguez,and Paul Walker.i don't think it was as good as the first film,but it was a close second.i added it to my collection,and don't regret it.if you're a fan of the series,you should like this one.for me,Fast & Furious is a well deserved 7/10",disdressed12,2011-04-24,2011
9.0,Awesome Action fourth installment. Fast & Furious is tremendous!,"Fast & Furious (2009) is an awesome Action packed sequel, where The Fast and the Furious (2001) stopped. This is the real sequel to The Fast and The Furious. I love that Paul Walker, Vin Diesel, Michelle Rodriguez and Jordana Brewster reprise their roles back to the roots the way they were. This is my fourth favorite best film in the series, this film Is a seat to the edge from the beginning till the end. This movie kept me thoroughly entertained from beginning to end. Sure it's a little far fetched, but who cares? It's a movie, and definitely not as bad as some people are saying. Besides, the point of watching a movie is to escape reality so I don't understand why people complain when movies are not realistic. Provided a cinematic equivalent of NOS to the franchise with a tone shift that helped make it one of the most popular and profitable action series in the last decade. Excellent flick. Much better than the middle two. Just forget those movies happened. This was good balls to the walls action with much better actors with the original 4 back together. Bad idea making 2 and 3 :) Vin Diesel and Paul Walker re team with Michelle Rodriguez and Jordana Brewster for the ultimate chapter of the franchise built on speed! When fugitive Dominic Toretto (Vin Diesel) returns to Los Angeles to avenge a loved one's death, it reignites his feud with agent Brian O'Conner (Walker). But, as they race through crowded city streets and across international lines, they must test their loyalties by joining together to bring down a shared enemy. From big rig heists to precision tunnel crawls, Fast & Furious takes you back into the high-octane world, which lives for speed, drives for the rush and breaks all the rules!""Maybe you're the bad guy pretending to be the good guy."" This film is more about stopping a notorious drug lord Arturo Braga and avenging the murder of Letty (Michelle Rodriguez). This film is set back in Los Angles when everything started, after 5.years of leaving the city of Angeles for Dominican Republic after Dom (Vin Diesel) and his crew become a Wanted Fugitives. Letty was murdered when she was mixed up in a drug racers mule cartel. She knew the people who hired her, will double crossed her, while trying to escape the flying bullets she was killed by a drug lord's henchman. That weary angrier Dom (Vin Diesel) brings him back to Los Angeles, to avenge his loved one's death and tracking down Drug Lord Braga and killing him. Brian O'Connor (Paul Walker), is now an FBI agent, and he is assigned to track down a notorious drug lord named Arturo Braga. Both men faces each other in a final showdown. Braga is looking for a fast drivers that are driving and smuggling trough desert New Mexico drugs. Brian goes again undercover only to find out that he and Dom (Vin Diesel) are been double crossed and set up on the same way that was Letty (Michelle Rodriguez) was. This film is filled with full action, fast cars, full of stunts and beautiful women. Gal Gadot is tremendous as Gisele Harabo it was her first role in this film and she was awesome, she acted the character terrific. Paul walker was the best in this film, finally, finally they did something with the character, he become an FBI Agent which I love that with the character In this movie. I love that Dom (Vin Diesel) at the end of the film didn't run, he surrender and I love how Brian ( Paul Walker) was testifying for him in the court. Seriously this film Kicks ass, although I prefer Fast Five over this Action Flick, but that doesn't mean this film did not do the job right, it did! And this film is highly underrated and criticized by critics. Also Han (Sung Kang) has a small scene in the beginning of this film, that was before they killed the beloved character in The Fast and the Furious: Tokyo Drift (2006). The rating I am giving to this film is 9. Anything below 7 would be ridiculous, if anyone would not say that this wasn't At least A GOOD ACTION FILM! (it is sure as hell better than all the comic movies that are getting high scores.)",ivo-cobra8,2015-10-18,2015
7.0,Crank Up The Testosterone,"This is one of these 107-minute testosterone movies guys crave every once in awhile, some more than others. Being a somewhat-old guy, I don't look as these as often anymore but every once in awhile it's fun to kick back and just watch fast cars, loose women, wild action and fairly-brainless film.There isn't much of a plot but my guess is people who are fans of this film series don't care. Just give us the above - muscle cars, macho men, sexy babes and a few great chase scenes - and that's all that is asked. I thought the best scene was the first one, a chase down mountain in the Dominican Republic. That was like a James Bond opening scene: a real attention-getter.After that, you get the normal F&F material, which glamorizes things that shouldn't be (racing through crowded streets, etc.) but also has the ""good"" guys going to capture a drug lord from Mexico.....and a lot of punks along the way. They all sneer and have a lot of tattoos. I've only seen this one and the first in the series but from what I read here, I've seen the two best of the four Fast & Furious films. Vin Diesel helps make them a notch above the others, I suspect. He's always interesting as ""Dom Toretto"" and his character is the most credible.",ccthemovieman-1,2009-08-19,2009
1.0,Annoying camera shake...,"Every time there is a fight scene, car chase or action sequence the camera shakes around all over the place and you can't see what's happening. What's the point of that? I gave up trying to watch it because I got a damn headache... Grrr",phil-932-237806,2019-05-11,2019
