Rating,Title,Content,Author Name,Date
8,So far the best and most entertaining of this series.,"This is the film that single-handedly got me to give the rest of the series a shot, for better or worse. It's a nice change of pace from the previous films where it abandons the street race angle (how far could you have taken that anyway?) and goes into the direction of a heist action flick with cars. Dwayne Johnson is a great addition and really adds to the series embracing the goofiness of its premise. So yeah, still the best this franchise had, and that's kind of rare for a franchise on its fifth film. The action for the most part is really handled well and a lot of fun to watch. The cast as an ensemble are very charismatic which no doubt makes it more fun for audiences to see a cast that has so much diversity and it's not done with generic stereotypes but just a bunch of people with a common interest. Overall a very entertaining action flick.",tmm_8705,"Jun 28, 2013"
8,Back together for round Five,"Now when a long running series like The Fast And The Furious get sequels it is always a challenge to go out and try impress movie goers.However the series always tops itself with the recent sequels and Fast Five proof that's anything is possible with the right minds.The plot this time take place after Fast and Furious 4 left all with Brian O'Conner played by Paul Walker, Dominic Teretto Played by Vin Diesel, Mia Toretto played by Jordana Brewster head for Brazil to escape the law after a job with Vince Played by Matt Schulze went wrong. Which leads to them being hunted by Luke Hobbs Played by Dwayne Johnson who along with Elena Played by Elsa Pataky begin to hunt them down. Also returning are Roman Played by Tyrese Gibson, Tej Played by Chris 'Ludacris' Bridges, Han Played by Sung Kang, Gisele played by Gal Gadot. Reyes Played by Joaquim de Almeida who serves as the Film Main Antagonist.Story wise the plot is very good because it features the return of many of the characters from the series which is very good and moves the series along. Plus the film requires you to pay attention or you'll miss something. Plus you see the characters grow in this film from the last films.What drives the film like the other films is that the stunts from start to finish that defines The Laws of Physic and why I love this series because the cast and crew are always driven to push the limits and hold nothing back, Fast Five is the example of it.There is just a lot for this film that I recommend seeing for yourself where you'll be amazed and how you can do a sequel with the right minds.With awesome stunts, great action and plot you'll be glad you watch this film.I give Fast Five an 8 out of 10",Terryfan,"Apr 3, 2015"
8,Sequels Are Getting Better Through Time,No content,eric262003,"Apr 23, 2012"
No rating,Best Fast & Furious movie,This is the best Fast and furious movie in my opinion. The franchise reinvented itself here and the series really benefited from it. This had a much better and believable plot and of course the Rock made the movie really good as well. 8.5/10,0U,"Feb 23, 2020"
7,A fun 'RIDE',No content,tilak,"Mar 7, 2014"
10,Definitely the best Action flick in the series from 2011,"Fast Five (2011) is one of the best Action heist films of all 5. film series of all time. This film reunites all actors from the previous films. Vin Diesel, Paul Walker, Jordana Brewster , Tyrese Gibson , Chris 'Ludacris' Bridges, Matt Schulze, Sung Kang, Dwayne Johnson, Gal Gadot, Tego Calderon and Don Omar, the gang are all here! They are all cast from the previous installments. 
The Director brings all new actors in the cast crew: Joaquim de Almeida, Dwayne Johnson and Elsa Pataky. The script, the players, the action scenes, the story. Everything about this film is awesome! This film kicks ass. Is my second favorite best film in the series franchise. This film for me even beats Furious 7. Cause Furious 7 is not that good as this film is. The far of the highest best films ever. It's actually probably my favorite movie that I've ever seen. If you like any of the other fast and furious movies SEE THIS ONE!!!!! It's a Epic movie watch it till all the way to the end.Fast Five picks up, literally, right where Fast & Furious left off. Dom (Vin Diesel) is on his way to prison when his partner, former undercover detective Brian O'Conner (Paul Walker), and his sister Mia (Jordana Brewster) stage a daring (albeit highly unlikely) prison-bus break. On the run from the police, the FBI and the media, the three hightail it across the border and head even further south, all the way to Rio de Janeiro. There, they decide to lay down, lay low and avoid any unwanted attention. Nah, I'm just kidding. They do what any international fugitives would do: rob a train, double cross a local crime lord named Hernan Reyes (Joaquim de Almeida) and his right-hand man Zizi (Michael Irby), put themselves on the radar of a ludicrously musclebound U.S. Diplomatic Security Service agent (Dwayne Johnson), and set out to steal untold millions from Reyes. That's right, it's One Last Heist for Dom and Brian. Not that anyone should be foolish enough to think this is the last we'll see of the led-foot duo; not after Fast Five revved up $600 million at the worldwide box office. (Be sure to sit through the first chunk of end credits for a nice little surprise.) Fast Five boasts incredible action scenes that are all varied and equally exciting. The film is full of clean, well choreographed shots that are easy to watch and the cast works great as a whole unit, making the film's running time breeze by. The heist in Rio De Janeiro was amazing An energetic, high-octane. The film was brilliant and smart it was action fun Entertained. The fight scenes between Dwayne Jonson and Vin Diesel was tremendous. I was happy that they put someone (Dwayne Jonson) in the movie that was so smart like Dom (Vin Diesel) was. Luke Hobbs as A Diplomatic Security Service agent to track down Dom and his crew was awesome! He did a brilliant job In this Action packed sequel film! Just Lin deliver us a high octane Action packed story filled with full of cars and shootings in his film.Vin Diesel, Paul Walker and Dwayne Johnson lead this all-star all-action movie with outrageous stunts, incredible cars and beautiful girls that pushes the limits into the red and beyond! The legendary Dom Torreto (Vin Diesel) partners with outlaw cop Brian O'Conner (Paul Walker) on the opposite side of the law in exotic Rio de Janeiro, Brazil. Hunted by ruthless Agent Hobbs (Dwayne Johnson) and an army of corrupt cops working for a deadly drug kingpin. Torreto and O'Conner reunite the gang from previous Fast adventures to pull off one last job - an insane heist worth $100 million! ""Five Times The Action!, Five Times the Fury!"" I love this film to death and I love how they were planning to rob a Police Station. The first half was a little boring, but the second half was fast paced entertained filled with action. I love this film and everything about it. I love that it is 2.hrs long so that it can tell the whole story.When developing Fast Five, Universal Studios deliberately departed from the street racing theme prevalent in previous films in the series, to transform the franchise into a heist action series involving cars. By doing so, they hoped to attract wider audiences that might otherwise be put off by a heavy emphasis on cars and car culture. Fast Five is considered the transitional film in the series, featuring only one car race and giving more attention to action set pieces such as gun fights, brawls, and the heist of $100 million. The production mounted a comprehensive marketing campaign, marketing the film through social media, virtual games, cinema chains, automobile manufacturers, and at NASCAR races.",ivo-cobra8,"Oct 18, 2015"
7,The first sequel in the series that's actually worth your dollar,"Sure the original was something fresh, new, and somewhat original. But the sequels have been anything but. Yeah i know it's high octane fun, but you can say the same thing about Michael Bay films. Am i saying that these sequels are as bad as Michael Bay films? No, but each one offers nothing new, well, unless you count drifting, and that isn't saying a lot. Hopefull this new installment can bring something fresh to the table.I never thought i would say this, but i actually enjoyed this movie. I went in with low expectations, and came out pretty damn satisfied. Sure the movie had a lot of the same moving parts, but what really made this one stand out is how it actually changed the pace of how they normally do things.First, they didn't have a damn drag race every 10 minutes. In fact, they barely had any. Which really is a genius idea, because when the time did come to have an awesome driving sequence, you were begging for it. Finally, someone with brains stepped into this movie and said let's save all of our bullets and unleash them in the end.So with a series that relies heavily on their driving sequences and less on their script, how do you keep your audience entertained? Well, the first step is to incorporate another major actor, enter The Rock. Next, you really need to buff up your script. Okay, here is where it gets both good and bad. It's good because the movie takes a ton of it's credit from the ""Ocean 11"" films. Yeah, it's stealing an idea, but it injecting more action into it, which is pretty cool. But the reason why i say it's also bad, is because it's still packed with bad cheesy one-liners, poor acting, and some really tarnished plot outlines. But does that take anything away from the fun.......not really.Bottom Line, okay people, here is your first action movie worth seeing this year. No, i am not one of those people who hold these 'Fast and Furious' films on a high pedestal. Not since the first one have i given anything over a decent review. But i can say with confidence that this one is actually worth your hard earned dollar. Sure it's slightly cheesy, packed with impossible action, and sure it steals some plot outlines from other films, but i like i said earlier, it's still fun to watch. So with that being said, the question remains.....is this the best one in the series? I still say no, but this movie comes damn close. Closer that any of the other ones, thats for damn sure. On a time line, this should have followed up the original",blackmambamark,"May 1, 2011"
9,Fast Five: The Big Climax Of The Franchise,"Without a shadow of a doubt, The Fast And Furious Franchise reaches it's peak in this installment with breathtaking action and a sense of friendship and brotherhood shared by the lead characters. Vin Diesel and Paul Walker return and are joined by newcomer Dwayne Johnsson for the 5th Fast and Furious Movie, entitled ''Fast Five''. There's not much to say about this, the action movie of the year, except it's fantastic shots of Brazil, the heist plot that brings even more excitem«ent to the table and overall the continuation of the story of these characters we have come to love and support, as their bond streghtens over time.In Conclusion, if you love the franchise then you can't miss it9/10",CMTiago,"Aug 26, 2013"
7,Best since the original.,"""Home sweet home"" utters Diesel's beefcake criminal Dom Toretto to Walker's baby-faced ex-cop Brian O'Conner as they sit in Toretto's souped up muscle car ready to race along the streets of Rio de Janeiro. There's more than a hint of irony in this; fans of the Fast franchise will know exactly what Dom means. The sequels spawned from the highly successful first film have been a mixed bag appealing to different tastes. Some have been mildly entertaining in their own way, but the one major issue they've all shared is a lack of recurring characters and follow-on narratives. 2009's Fast & Furious partially rectified that by having the main four from the original movie return, but it's this fifth entry that really starts to bring the whole series together.There's supporting characters from every instalment featured here – Matt Schulze's Vince from number one; Tyrese's big-mouthed Roman and Ludicrous' Tej from 2 Fast 2 Furious; Sung Kang's charismatic Han from Tokyo Drift; and Gal Gadot's sexy Gisele from F&F – with a post-credits cameo to cap it off. Scribe Chris Morgan has obviously done his homework as, in addition to the 'who's who' line-up of co-stars, there are references to the previous movies (and characters that don't appear) and he introduces subplots that help build on earlier story lines. This integration of the Fast universe, along with the marvellously tongue-in-cheek mood, notches up a level of interest not before seen in the car-crazy franchise.After taking a new course with Tokyo Drift, and failing to impress with Fast & Furious, filmmaker Justin Lin has well and truly ignited the series with exciting set pieces and lashings of well placed humour. He still struggles to effectively call the shots when exposition (or mere conversation) is required; however he clearly has a handle on shooting the various fast-paced action scenes. There is a spectacular heist of luxury cars aboard a train (with a marvellously ridiculous denouement); a Bourne-esque free-running chase along roof tops; and a bruising hand-to-hand melee between The Rock and big Vin.Of the major stars, it's Fast newcomer Dwayne Johnson who shines the brightest. His epic bad-ass cop makes Toretto look like an absolute sissy, which is no easy feat. He also boasts many of the film's greatest lines and comes away looking the least corny – something Diesel and Walker are evidently use to by now. The chalk and cheese pairing of the two wannabe action stars brings with it a decent slab of shonky acting. Chrome-domed Diesel is especially silly and unconvincing when required to open his mouth, but he looks good behind the wheel of a car and adds plenty to the unapologetic macho atmosphere.Thanks to Morgan's decent script, Lin's solid grasp on the action and Johnson's tough-as-nails turn, this latest addition to a franchise that appeared to be running on fumes has just stepped on the gas.3.5 out of 5 (1 - Rubbish, 2 - Average, 3 - Good, 4 - Great, 5 - Brilliant)",Troy_Campbell,"Apr 21, 2011"
8,Still the best of the bunch!,"Yeah out of all the movies, this one still stands as my favorite! It basicly have everything you can ask for from a Fast and Furious movie!This movie Feels like the finale movie in the series, as it brings together our favorite characters from the previous movies, in the current timeline! It is over the top, but not as much as the later entries! The plot is also easy to understand, and not overly complex!This is an easy to enjoy action packed thrillride, with emotional, satisfying and intense moments! The last part of the movie is just bonkers and i LOVE it! The movie introduces ""The Rock"" as Luke Hobbs, whom is my favorite antagonistic force in this series!Overall this is just a solid action-movie!",and_mikkelsen,"Mar 18, 2023"
6,The Day When Puerto Rico Has Become Rio de Janeiro,"The former agent Brian O'Conner (Paul Walker) and his girlfriend Mia Toretto (Jordana Brewster) rescue her brother Dominic Toretto (Vin Diesel) during the transportation to the prison and they flee to Rio de Janeiro. They rob a car from custody and find that the powerful drug lord Hernan Reyes (Joaquim de Almeida) has a US$ 100,000.00 in a safe located inside the police station and protected by corrupt policeman. Dominic invites his skilled crew to steal the dirty money and achieve their freedom, moving to a country without extradition to the USA. Meanwhile the tough FBI agent Luke Hobbs (Dwayne Johnson) comes to Brazil with an elite force to arrest Dominic and Brian.""Fast Five"" is an entertaining action film, with cartoonish shootings and fights and an insane car race that destroys dozens of cars and locations. Vin Diesel, Paul Walker and Dwayne Johnson are synonym of great action scenes, and is nice to see the gorgeous Jordana Brewster that speaks a perfect Portuguese and Elsa Pataky.For Brazilian and specially ""cariocas"" (natives from Rio de Janeiro), this film is also a comedy with the stereotyped Rio and a great quantity of mistakes. Most of the scenes are shot in Puerto Rico; most of the accent of actors speaking Portuguese are not from Rio but from São Paulo or from native in Spanish; Hernan Reyes is not a Brazilian name and Joaquim de Almeida is an actor from Portugal; there are ridiculous geographical mistakes, like for example, the references to the noble areas of Avenida Atlântica and Leblon. The sequences in the slums are also funny, since the modus operandi of armed drug dealers is totally different, using snipers from the top of the hills and barriers in the accesses to avoid the police and paramilitary forces. An American force would never have jurisdiction in Brazil. Last but not the least, there are many corrupt cops in Brazil, but never in such level. I do not understand why the production has not used Brazilian actors and actresses in supporting roles to giver credibility to the footages with the external landscapes of Rio de Janeiro. My vote is six.Title (Brazil): ""Velozes & Furiosos 5 - Operação Rio"" (""Fast & Furious 5 – Operation Rio"")",claudio_carvalho,"Sep 17, 2011"
10,I wasn't expecting much from this...but WOW.,"I enjoyed the movie so much, that I came onto IMDb and registered myself just so that I can post a review. The movie was packed with jaw dropping, eye popping action from beginning to end. The drama had a mix of sadness, comedy and seriousness which were all mixed in together so beautifully to give a consistency to keep the viewer starring at the screen and being involved in the movie rather than daydreaming about other things. In my honest opinion I would say that it is the best Fast & Furious movie to date. I want to go see it again!(by the way, I realise that this isn't the best review in the world or might even be an awful review, the point is that I enjoyed the movie thoroughly and felt I should contribute to it's high average ratings).",mus_ne_17,"Apr 23, 2011"
6,Not a hint of realism...,No content,Cowzilla15,"Apr 29, 2011"
2,Appalling,"There's a limit to how many sequels you can make to an action movie that was not very smart to begin with and still end up with something watchable. They change the scenery a bit, one-up the carnage and the special effects, add a little seasoning and shake well.The thing that made the Fast and the Furious really good was always the fast cars and the portrayal of the street racer subculture with some crime and action on the side. Unfortunately Fast Five fails to deliver the proved formula - the action is too prominent, and frankly feels ridiculous most of the time. The street racing and the tuner scene are moved to the side to make room for more gunfights and ridiculous action scenes. The plot is predictably weak and while the regular cast makes a good effort of keeping the whole thing afloat, their efforts are undermined by some of the new faces (anyone like wrestling?).The whole thing feels like a meaningless series of action scenes glued together with a few romantic moments meant to tend the female demographic. There is no sense of flow throughout the movie and I never felt part of the action, it was not even remotely believable. I wish I could say that the movie was not really bad, just mediocre but that would be lying. Spare yourself some disappointment and go watch something else.",explicit-1,"May 8, 2011"
7,'FAST FIVE' gets 3.5 out of 5.,"'FAST FIVE': Three and a Half Stars (Out of Five) I was never a big fan of the original 'THE FAST AND THE FURIOUS' and thought it was severely over-hyped. With each sequel though I think the franchise has gotten better (although I never saw the third chapter: 'TOKYO DRIFT'). This one (for the first time) brings together key cast members from all of the other films including Vin Diesel (who sat out the second film and only did a cameo in the third), Paul Walker (who was absent from the third film), Jordana Brewster (who missed the second and third films) as well as Tyrese Gibson, Ludicrous, Matt Schulze, Sung Kang, Cal Gadot and Tego Calderon (who all co-starred in one or two of the other films). It also adds Dwayne 'The Rock' Johnson to the cast and fans finally get to see a long anticipated fight scene between he and Vin Diesel. The film is directed by Justin Lin (who also directed the last two films) and written by Chris Morgan (who wrote the last two films as well). It all adds up to a pretty entertaining action film that should definitely please most fans of the genre as well as fans of the franchise.The film opens directly where the last one left off with former FBI agent turned outlaw Brian O'Conner (Walker) and girlfriend Mia (Brewster) breaking Mia's brother and Brian's buddy and partner in crime Dominic Toretto (Diesel) out of prison, by attacking the prison bus he's on. They then flee to Brazil and due to a botched car heist (where DEA agents are murdered) they're moved to the top of America's most wanted list. The baddest federal agent around, Lucas Hobbs (Johnson), is then put on assignment to track them down. O'Conner and Toretto then decide to pull one last big job on the crooked businessman, Hernan Reyes (Joaquim de Almeida), who framed them by stealing $100 million of his laundered money. They bring in a team of former associates to help them pull off the heist.The movie is really predictable and the story and character development pretty routine but the action scenes are amazing. The film does drag a little in the middle, during the overlong heist setup part of the film but for the most part it's really fast paced and thrilling. The stunts are some of the best ever performed (probably) and the amount of sheer destruction in the film is astonishing. There are several scenes that seriously push the realm of logic and reality but it's all in good senseless fun. The Rock makes a cool addition to the series and the fight scene between him and Diesel doesn't disappoint. The film is most likely everything you think it's going to be and it delivers exactly what it promises. In that sense it's definitely a success and in my opinion at least a little better than all the others in the franchise (just adding the Rock makes it that much better).Watch our review show 'MOVIE TALK' at: http://www.youtube.com/watch?v=b2_pFXcDSfo",Hellmant,"Apr 30, 2011"
8,"A shouldn't miss for ""Fast and the Furious"" fans!",No content,lalitdevraj,"Feb 2, 2012"
No rating,Noisy entertainment even though it could have done with being tighter and more urgent than it was,"Very early in this film Paul Walker's character is hanging off the side of a speeding train in urgent need to get off before it hits the bridge. Instead of jumping to the ground and hoping he can roll his speed down, he jumps to a speeding car seconds before an explosion and then goes with that car as it flies off a cliff into a several hundred meter drop into a lake. At this point my girlfriend asked how any of that had been easier than just jumping onto the ground considering that hitting water from that height is similar to hitting concrete. I couldn't argue her logic but I did have to explain that her logic and attention to detail have no place in a film franchise that has hit its fifth instalment without ever suggestion that logic or plotting are anywhere near as important as a shot of a young woman's ass and a love of fast cars.And that is the problem with Fast Five that you need to overcome, it will at no point do much with the plot unless it knows it can get from that bit of plotting to the next car, gun or ass scene with minimal effort. It is a summer movie though and the ""Five"" in the title does mean that you should know what you're coming to with it. So I did my best to overlook the plot which is messy and a lacking logic at pretty much every turn – I over look it because I'm happy to surrender logic if the film can give me thrills and action. Mostly the film does, or at least it gives spectacle. Whether it is the foot escape over favela roofs or the ridiculous destruction derby of the robbery itself, the film provides you with a lot to look at and as such it is entertaining as spectacle. Personally I though the whole film could have greatly benefited from being tighter outside of these scenes and needed an injection of actual danger and tension. Instead everything happens and our characters and their cars seem indestructible, which does rather detract from the action because the viewer doesn't really ""care"" or worry about what is going on – it is all about just the spectacle. Although, like I said, it does do this well.Previous films in this series have had terrible effects and some awful CGI cars (that look CGI). I'm sure computer effects were in use here but mostly it doesn't show – specifically the car chases and scenes of destruction are satisfyingly real; again they may be effects but they are very good if they are because you do have the satisfying feel of stunt men working hard in the real world – something so many effects-driven blockbusters forget about now that computers can do so much. Matching the spectacle the cast mostly do what they are required to do by looking great. Paul Walker remains good-looking and has the sparkle in his eye that makes him fun to watch in these film. Alongside him Vin Diesel looks like he is half asleep in the most part and in this film his presence is massively damaged by having to be compared to The Rock. The Rock may not have much to do but he has great presence and a real brutal charm – arms the size of tree-trunks also help his ""character"" but, like I said, it makes Diesel look dull and out-of-shape by comparison (although the dull one is certainly true). Outside of them Brewster is OK despite having little to do, Tyrese brings his mouth but not the homoerotic comedy that he brought to the second film while both Pataky and Gadot have tremendous figures. Ludicrous, Kang and others in the gang appear to be in for fans of the franchise but it gives too many characters to care about – in terms of excitement and making the film tighter, it would have been better with a smaller group and tighter focus.Overall Fast Five is a fun film in a franchise that has seen some poor ones already. It provides spectacle and noise which is all one can ask for – even if I would have loved it to be tighter, more dramatic.",bob the moo,"Sep 21, 2011"
