,Rating,Title,Content,Author Name,Date,Year
0,8.0,"""This is vehicular warfare.""","""This is vehicular warfare.""",Al_The_Strange,2013-05-24,2013
1,8.0,A big movie and a fun time!,A big movie and a fun time!,pablo2896,2013-05-24,2013
4,7.0,Movin' on up!,Movin' on up!,moviewizguy,2013-05-16,2013
6,7.0,"As if a Tank wasn't enough, they got a Plane too","As if a Tank wasn't enough, they got a Plane too",KrazzyDJ,2013-05-26,2013
8,6.0,Indeed a guy's movie...,Indeed a guy's movie...,paul_haakonsen,2013-09-01,2013
9,9.0,"Hail, hail the gang's all here - but now minus one","Hail, hail the gang's all here - but now minus one",gradyharp,2013-12-12,2013
10,7.0,12 years after the first outing and the franchise is unrecognisable - which is a good thing,12 years after the first outing and the franchise is unrecognisable - which is a good thing,zentertainmentweeklydotcom,2013-05-21,2013
11,9.0,Incredible! Thoroughly enjoyable!,Incredible! Thoroughly enjoyable!,fritzlang,2013-05-21,2013
13,5.0,Did the director go on holiday for the last third of the film and hand his directing duties to a 12 year old kid?,Did the director go on holiday for the last third of the film and hand his directing duties to a 12 year old kid?,carl-walster,2013-05-20,2013
14,6.0,A fun addition to the franchise,A fun addition to the franchise,paulsrobinson,2013-05-19,2013
15,7.0,Fast and Furious 6 review,Fast and Furious 6 review,whoa17,2013-05-24,2013
18,7.0,Fuious 6,Fuious 6,edwardscissorhands123,2013-06-04,2013
19,10.0,Film of the year,Film of the year,losangcodbazzinga,2013-05-22,2013
21,7.0,"An Adrenaline-Fueled Action Ride, and a Good One at that.","An Adrenaline-Fueled Action Ride, and a Good One at that.",Papatheodorou,2013-07-06,2013
22,8.0,Bold imagination and beautiful execution of some of the most exhilarating car chases ever done on film make this the unequivocal franchise best thus far,Bold imagination and beautiful execution of some of the most exhilarating car chases ever done on film make this the unequivocal franchise best thus far,moviexclusive,2013-05-21,2013
23,7.0,"Fast 6, Fast but not quite as Furious as the previous outing","Fast 6, Fast but not quite as Furious as the previous outing",j-pryde,2013-05-19,2013
24,2.0,You shouldn't watch this movie if:,You shouldn't watch this movie if:,jedimaster_yoda,2013-06-10,2013
25,7.0,Level of Absurdity,Level of Absurdity,billygoat1071,2013-05-25,2013
27,6.0,Quirky humor and insane set pieces overcome its shoddy plot,Quirky humor and insane set pieces overcome its shoddy plot,quincytheodore,2013-05-23,2013
28,6.0,Loads of Action!,Loads of Action!,leonblackwood,2013-09-22,2013
29,8.0,In life Speed and Family are the two best things,In life Speed and Family are the two best things,buiredintime,2013-05-14,2013
30,7.0,Fast & Furious hasn't ran out of gas yet. Seems like it is just getting started.,Fast & Furious hasn't ran out of gas yet. Seems like it is just getting started.,ironhorse_iv,2013-05-28,2013
31,8.0,Definitely Fast and Definitely Furious,Definitely Fast and Definitely Furious,champjohnson29,2013-05-27,2013
34,6.0,The most ridiculous and over the top installment in this franchise,The most ridiculous and over the top installment in this franchise,KineticSeoul,2013-06-20,2013
35,5.0,Disappointment even for the mildest F&F fan,Disappointment even for the mildest F&F fan,tony_pop_1,2013-05-20,2013
36,6.0,Watch it with half the brain you used to watch Fast Five with,Watch it with half the brain you used to watch Fast Five with,arnieiam,2013-06-04,2013
