,Rating,Title,Content,Author Name,Date,Year
6,7.0,The first sequel in the series that's actually worth your dollar,"Sure the original was something fresh, new, and somewhat original. But the sequels have been anything but. Yeah i know it's high octane fun, but you can say the same thing about Michael Bay films. Am i saying that these sequels are as bad as Michael Bay films? No, but each one offers nothing new, well, unless you count drifting, and that isn't saying a lot. Hopefull this new installment can bring something fresh to the table.I never thought i would say this, but i actually enjoyed this movie. I went in with low expectations, and came out pretty damn satisfied. Sure the movie had a lot of the same moving parts, but what really made this one stand out is how it actually changed the pace of how they normally do things.First, they didn't have a damn drag race every 10 minutes. In fact, they barely had any. Which really is a genius idea, because when the time did come to have an awesome driving sequence, you were begging for it. Finally, someone with brains stepped into this movie and said let's save all of our bullets and unleash them in the end.So with a series that relies heavily on their driving sequences and less on their script, how do you keep your audience entertained? Well, the first step is to incorporate another major actor, enter The Rock. Next, you really need to buff up your script. Okay, here is where it gets both good and bad. It's good because the movie takes a ton of it's credit from the ""Ocean 11"" films. Yeah, it's stealing an idea, but it injecting more action into it, which is pretty cool. But the reason why i say it's also bad, is because it's still packed with bad cheesy one-liners, poor acting, and some really tarnished plot outlines. But does that take anything away from the fun.......not really.Bottom Line, okay people, here is your first action movie worth seeing this year. No, i am not one of those people who hold these 'Fast and Furious' films on a high pedestal. Not since the first one have i given anything over a decent review. But i can say with confidence that this one is actually worth your hard earned dollar. Sure it's slightly cheesy, packed with impossible action, and sure it steals some plot outlines from other films, but i like i said earlier, it's still fun to watch. So with that being said, the question remains.....is this the best one in the series? I still say no, but this movie comes damn close. Closer that any of the other ones, thats for damn sure. On a time line, this should have followed up the original",blackmambamark,2011-05-01,2011
8,7.0,Best since the original.,"""Home sweet home"" utters Diesel's beefcake criminal Dom Toretto to Walker's baby-faced ex-cop Brian O'Conner as they sit in Toretto's souped up muscle car ready to race along the streets of Rio de Janeiro. There's more than a hint of irony in this; fans of the Fast franchise will know exactly what Dom means. The sequels spawned from the highly successful first film have been a mixed bag appealing to different tastes. Some have been mildly entertaining in their own way, but the one major issue they've all shared is a lack of recurring characters and follow-on narratives. 2009's Fast & Furious partially rectified that by having the main four from the original movie return, but it's this fifth entry that really starts to bring the whole series together.There's supporting characters from every instalment featured here – Matt Schulze's Vince from number one; Tyrese's big-mouthed Roman and Ludicrous' Tej from 2 Fast 2 Furious; Sung Kang's charismatic Han from Tokyo Drift; and Gal Gadot's sexy Gisele from F&F – with a post-credits cameo to cap it off. Scribe Chris Morgan has obviously done his homework as, in addition to the 'who's who' line-up of co-stars, there are references to the previous movies (and characters that don't appear) and he introduces subplots that help build on earlier story lines. This integration of the Fast universe, along with the marvellously tongue-in-cheek mood, notches up a level of interest not before seen in the car-crazy franchise.After taking a new course with Tokyo Drift, and failing to impress with Fast & Furious, filmmaker Justin Lin has well and truly ignited the series with exciting set pieces and lashings of well placed humour. He still struggles to effectively call the shots when exposition (or mere conversation) is required; however he clearly has a handle on shooting the various fast-paced action scenes. There is a spectacular heist of luxury cars aboard a train (with a marvellously ridiculous denouement); a Bourne-esque free-running chase along roof tops; and a bruising hand-to-hand melee between The Rock and big Vin.Of the major stars, it's Fast newcomer Dwayne Johnson who shines the brightest. His epic bad-ass cop makes Toretto look like an absolute sissy, which is no easy feat. He also boasts many of the film's greatest lines and comes away looking the least corny – something Diesel and Walker are evidently use to by now. The chalk and cheese pairing of the two wannabe action stars brings with it a decent slab of shonky acting. Chrome-domed Diesel is especially silly and unconvincing when required to open his mouth, but he looks good behind the wheel of a car and adds plenty to the unapologetic macho atmosphere.Thanks to Morgan's decent script, Lin's solid grasp on the action and Johnson's tough-as-nails turn, this latest addition to a franchise that appeared to be running on fumes has just stepped on the gas.3.5 out of 5 (1 - Rubbish, 2 - Average, 3 - Good, 4 - Great, 5 - Brilliant)",Troy_Campbell,2011-04-21,2011
10,6.0,The Day When Puerto Rico Has Become Rio de Janeiro,"The former agent Brian O'Conner (Paul Walker) and his girlfriend Mia Toretto (Jordana Brewster) rescue her brother Dominic Toretto (Vin Diesel) during the transportation to the prison and they flee to Rio de Janeiro. They rob a car from custody and find that the powerful drug lord Hernan Reyes (Joaquim de Almeida) has a US$ 100,000.00 in a safe located inside the police station and protected by corrupt policeman. Dominic invites his skilled crew to steal the dirty money and achieve their freedom, moving to a country without extradition to the USA. Meanwhile the tough FBI agent Luke Hobbs (Dwayne Johnson) comes to Brazil with an elite force to arrest Dominic and Brian.""Fast Five"" is an entertaining action film, with cartoonish shootings and fights and an insane car race that destroys dozens of cars and locations. Vin Diesel, Paul Walker and Dwayne Johnson are synonym of great action scenes, and is nice to see the gorgeous Jordana Brewster that speaks a perfect Portuguese and Elsa Pataky.For Brazilian and specially ""cariocas"" (natives from Rio de Janeiro), this film is also a comedy with the stereotyped Rio and a great quantity of mistakes. Most of the scenes are shot in Puerto Rico; most of the accent of actors speaking Portuguese are not from Rio but from São Paulo or from native in Spanish; Hernan Reyes is not a Brazilian name and Joaquim de Almeida is an actor from Portugal; there are ridiculous geographical mistakes, like for example, the references to the noble areas of Avenida Atlântica and Leblon. The sequences in the slums are also funny, since the modus operandi of armed drug dealers is totally different, using snipers from the top of the hills and barriers in the accesses to avoid the police and paramilitary forces. An American force would never have jurisdiction in Brazil. Last but not the least, there are many corrupt cops in Brazil, but never in such level. I do not understand why the production has not used Brazilian actors and actresses in supporting roles to giver credibility to the footages with the external landscapes of Rio de Janeiro. My vote is six.Title (Brazil): ""Velozes & Furiosos 5 - Operação Rio"" (""Fast & Furious 5 – Operation Rio"")",claudio_carvalho,2011-09-17,2011
11,10.0,I wasn't expecting much from this...but WOW.,"I enjoyed the movie so much, that I came onto IMDb and registered myself just so that I can post a review. The movie was packed with jaw dropping, eye popping action from beginning to end. The drama had a mix of sadness, comedy and seriousness which were all mixed in together so beautifully to give a consistency to keep the viewer starring at the screen and being involved in the movie rather than daydreaming about other things. In my honest opinion I would say that it is the best Fast & Furious movie to date. I want to go see it again!(by the way, I realise that this isn't the best review in the world or might even be an awful review, the point is that I enjoyed the movie thoroughly and felt I should contribute to it's high average ratings).",mus_ne_17,2011-04-23,2011
12,6.0,Not a hint of realism...,No content,Cowzilla15,2011-04-29,2011
13,2.0,Appalling,"There's a limit to how many sequels you can make to an action movie that was not very smart to begin with and still end up with something watchable. They change the scenery a bit, one-up the carnage and the special effects, add a little seasoning and shake well.The thing that made the Fast and the Furious really good was always the fast cars and the portrayal of the street racer subculture with some crime and action on the side. Unfortunately Fast Five fails to deliver the proved formula - the action is too prominent, and frankly feels ridiculous most of the time. The street racing and the tuner scene are moved to the side to make room for more gunfights and ridiculous action scenes. The plot is predictably weak and while the regular cast makes a good effort of keeping the whole thing afloat, their efforts are undermined by some of the new faces (anyone like wrestling?).The whole thing feels like a meaningless series of action scenes glued together with a few romantic moments meant to tend the female demographic. There is no sense of flow throughout the movie and I never felt part of the action, it was not even remotely believable. I wish I could say that the movie was not really bad, just mediocre but that would be lying. Spare yourself some disappointment and go watch something else.",explicit-1,2011-05-08,2011
14,7.0,'FAST FIVE' gets 3.5 out of 5.,"'FAST FIVE': Three and a Half Stars (Out of Five) I was never a big fan of the original 'THE FAST AND THE FURIOUS' and thought it was severely over-hyped. With each sequel though I think the franchise has gotten better (although I never saw the third chapter: 'TOKYO DRIFT'). This one (for the first time) brings together key cast members from all of the other films including Vin Diesel (who sat out the second film and only did a cameo in the third), Paul Walker (who was absent from the third film), Jordana Brewster (who missed the second and third films) as well as Tyrese Gibson, Ludicrous, Matt Schulze, Sung Kang, Cal Gadot and Tego Calderon (who all co-starred in one or two of the other films). It also adds Dwayne 'The Rock' Johnson to the cast and fans finally get to see a long anticipated fight scene between he and Vin Diesel. The film is directed by Justin Lin (who also directed the last two films) and written by Chris Morgan (who wrote the last two films as well). It all adds up to a pretty entertaining action film that should definitely please most fans of the genre as well as fans of the franchise.The film opens directly where the last one left off with former FBI agent turned outlaw Brian O'Conner (Walker) and girlfriend Mia (Brewster) breaking Mia's brother and Brian's buddy and partner in crime Dominic Toretto (Diesel) out of prison, by attacking the prison bus he's on. They then flee to Brazil and due to a botched car heist (where DEA agents are murdered) they're moved to the top of America's most wanted list. The baddest federal agent around, Lucas Hobbs (Johnson), is then put on assignment to track them down. O'Conner and Toretto then decide to pull one last big job on the crooked businessman, Hernan Reyes (Joaquim de Almeida), who framed them by stealing $100 million of his laundered money. They bring in a team of former associates to help them pull off the heist.The movie is really predictable and the story and character development pretty routine but the action scenes are amazing. The film does drag a little in the middle, during the overlong heist setup part of the film but for the most part it's really fast paced and thrilling. The stunts are some of the best ever performed (probably) and the amount of sheer destruction in the film is astonishing. There are several scenes that seriously push the realm of logic and reality but it's all in good senseless fun. The Rock makes a cool addition to the series and the fight scene between him and Diesel doesn't disappoint. The film is most likely everything you think it's going to be and it delivers exactly what it promises. In that sense it's definitely a success and in my opinion at least a little better than all the others in the franchise (just adding the Rock makes it that much better).Watch our review show 'MOVIE TALK' at: http://www.youtube.com/watch?v=b2_pFXcDSfo",Hellmant,2011-04-30,2011
16,8.0,Noisy entertainment even though it could have done with being tighter and more urgent than it was,"Very early in this film Paul Walker's character is hanging off the side of a speeding train in urgent need to get off before it hits the bridge. Instead of jumping to the ground and hoping he can roll his speed down, he jumps to a speeding car seconds before an explosion and then goes with that car as it flies off a cliff into a several hundred meter drop into a lake. At this point my girlfriend asked how any of that had been easier than just jumping onto the ground considering that hitting water from that height is similar to hitting concrete. I couldn't argue her logic but I did have to explain that her logic and attention to detail have no place in a film franchise that has hit its fifth instalment without ever suggestion that logic or plotting are anywhere near as important as a shot of a young woman's ass and a love of fast cars.And that is the problem with Fast Five that you need to overcome, it will at no point do much with the plot unless it knows it can get from that bit of plotting to the next car, gun or ass scene with minimal effort. It is a summer movie though and the ""Five"" in the title does mean that you should know what you're coming to with it. So I did my best to overlook the plot which is messy and a lacking logic at pretty much every turn – I over look it because I'm happy to surrender logic if the film can give me thrills and action. Mostly the film does, or at least it gives spectacle. Whether it is the foot escape over favela roofs or the ridiculous destruction derby of the robbery itself, the film provides you with a lot to look at and as such it is entertaining as spectacle. Personally I though the whole film could have greatly benefited from being tighter outside of these scenes and needed an injection of actual danger and tension. Instead everything happens and our characters and their cars seem indestructible, which does rather detract from the action because the viewer doesn't really ""care"" or worry about what is going on – it is all about just the spectacle. Although, like I said, it does do this well.Previous films in this series have had terrible effects and some awful CGI cars (that look CGI). I'm sure computer effects were in use here but mostly it doesn't show – specifically the car chases and scenes of destruction are satisfyingly real; again they may be effects but they are very good if they are because you do have the satisfying feel of stunt men working hard in the real world – something so many effects-driven blockbusters forget about now that computers can do so much. Matching the spectacle the cast mostly do what they are required to do by looking great. Paul Walker remains good-looking and has the sparkle in his eye that makes him fun to watch in these film. Alongside him Vin Diesel looks like he is half asleep in the most part and in this film his presence is massively damaged by having to be compared to The Rock. The Rock may not have much to do but he has great presence and a real brutal charm – arms the size of tree-trunks also help his ""character"" but, like I said, it makes Diesel look dull and out-of-shape by comparison (although the dull one is certainly true). Outside of them Brewster is OK despite having little to do, Tyrese brings his mouth but not the homoerotic comedy that he brought to the second film while both Pataky and Gadot have tremendous figures. Ludicrous, Kang and others in the gang appear to be in for fans of the franchise but it gives too many characters to care about – in terms of excitement and making the film tighter, it would have been better with a smaller group and tighter focus.Overall Fast Five is a fun film in a franchise that has seen some poor ones already. It provides spectacle and noise which is all one can ask for – even if I would have loved it to be tighter, more dramatic.",bob the moo,2011-09-21,2011
17,7.0,Entertainment: Ego Driven Car Races,"Ten years after the inception of the fast car action film phenomenon, Fast Five takes the U.S. box office by storm beginning summer early this year. Director Justin Lin (""Anapolis"") achieves an opening box office numbers north of 80 mil by amassing all of the franchise's most badass stars including Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson, Ludicrous, Sung Kang, Matt Schulze along with adding the brute power of Dwayne ""The Rock"" Johnson. As expected, there is no plot or character development what so ever, immediately throwing the audience into the escape of Dominic ""Dom"" Toretto (Diesel) sentenced to twenty-five years in prison, facilitated by ex-cop Brian O'Connor (Walker) and Mia Toretto (Brewster). Following Dom's escape, Brian and Mia seek the help of an old friend, Vincent (Schulze), in Rio de Janeiro undertaking a job to steal three cars from a moving train as they wait for Dom's arrival. The heist goes amiss, however, they learn two things, first, they cannot trust anyone and second this is just the tip of the iceberg of the ticket to their freedom. Dom, Brian and Mia commence the biggest robbery the series has ever seen with a 100 million dollar target from the most corrupt and powerful man in Rio, Hernan Reyes (Joaquim de Almeida). Needless to say, they call Roman Pearce (Gibson), Tej (Ludacris), Han (Sung Kang) among other franchise favorites to evade the clutches of Reyes and U.S. federal agent Luke Hobbs (Johnson).Not many sequels stand up to their first installments, however, after four semi-entertaining sexy action thrillers struggling to create a worthwhile plot, ""Fast Five"" does more than equivocating its predecessors. The film's over the top ridiculous scope leaves very little room for slow boring moments. Instead it is full of pointless action scenes including a five-minute foreseeable faceoff between Diesel and Johnson. The battle of the brawny is accompanied by the battle of the sexy between Jordana Brewster and newcomer Elsa Patakay (local Rio cop Elema Neves). And yes there are ego driven car races.The same reasons that make ""Fast Five"" better than its predecessors make the film the true mess that it is. A completely flawed grandiose plot combined with ridiculously bad acting and Tyrese Gibson's cliché one-liners and Johnson's childish clever phrases such as ""Now give me the veggies"" make the script seem like something a 13 year old thought up while playing Need For Speed with his friends. However, by disregarding plot development and clever writing, ""Fast Five"" has broken through the bonds that have always been holding the series back.In the end, nothing stands in the films way as the writers completely shirk their job letting the cast loose through a labyrinth of explosive fun. All that matters is that ""Fast Five"" is the epitome of a Hollywood moneymaker. It is entertainment.",jonnyhavey,2011-05-03,2011
19,7.0,"Fast, fun and mindless fury ... once again","I went into this movie expecting the usual; fast cars and hot babes held together with a more than flimsy action-packed story line and Justin Lin seemed to schizophrenically deliver (or did he?). The movie starts with a famously stolen and instantly aggravating ""one last job"" scene, obviously not something any movie goer can believe in this instance because let's face it who finishes a movie series on its fifth? This movie sees the return of all the usual (and previous) F&F characters and same tricks of the trade we have seen Brian and Dom perfect with all the usual so-called tense last minute escapes Hollywood has rinsed dry, yet still this movie does deserve its 7/10 rating.How? Rio and the favelas are beautifully shot, the new characters are refreshing and VERY well casted, the vehicles are awesome, although lacking in their usual ""bling"" quality and the witty humour running through from previous F&F's is a little bonus for fans of the previous movies. Coupled with a sprinkling of nail biting moments and generous helpings of laugh-out-loud moments this testosterone injected movie is no doubt a fun, easy on the mind movie to go and watch.Unfortunately, like all ""fun and easy on the mind"" movies, the simplicity of it all becomes very predictable and the same is true for this movie. The story line, although containing a couple of very interesting screws, is essentially like any other heist movie we've all seen before (you already know the conclusion and you always wonder where they magically get all that military level kit from). The fight scenes have obvious outcomes, the alliances of certain characters are openly questionable and the character of Matt Schulze (Vince) is more pointless than jet skiing in your 15 meter, back garden swimming pool.The UNENDING swarms of mind-blowingly beautiful women and roaring hot cars are haplessly missing in the trial to create a more interesting storyline, which has only lead to needless additions into the story which add nothing to the overall plot. This movie is like a man in his late 20's desperate to become something more yet hold onto his youth and ending up messing up on both fronts. There's a token nitrous moment amidst the scores of needless carnage and overflowing testosterone levels from the tanking cast and developments in Brian and Mia's relationship add nothing to the story.Overall, the movie is enjoyable but lacks the zing of maybe the first two. It falls short of a modern day epic man-movie like the ""expendables"" and clearly lacks the strong storyline and acting prowess of a brilliant modern day heist movie like ""the bank job"". Saying that, it would still be a shame to miss this movie.",deathiscoming-1,2011-04-30,2011
